,FILEID,FILETYPE,STUSAB,CHARITER,SEQUENCE,LOGRECNO,Households,Households% Family households:,Households% Family households:% 2-person household,Households% Family households:% 3-person household,Households% Family households:% 4-person household,Households% Family households:% 5-person household,Households% Family households:% 6-person household,Households% Family households:% 7-or-more person household,Households% Nonfamily households:,Households% Nonfamily households:% 1-person household,Households% Nonfamily households:% 2-person household,Households% Nonfamily households:% 3-person household,Households% Nonfamily households:% 4-person household,Households% Nonfamily households:% 5-person household,Households% Nonfamily households:% 6-person household,Households% Nonfamily households:% 7-or-more person household,Total households,Total households% Multigenerational households,Total households% All other households,Households,Households% Family households:,Households% Family households:% 2-person household,Households% Family households:% 3-person household,Households% Family households:% 4-person household,Households% Family households:% 5-or-more person household,Households% Nonfamily households:,Households% Nonfamily households:% 1-person household,Households% Nonfamily households:% 2-person household,Households% Nonfamily households:% 3-person household,Households% Nonfamily households:% 4-person household,Households% Nonfamily households:% 5-or-more person household,Geographic Identifier,Area Name
0,ACSSF,20100.0,dc,0,48,2,252388,101519,47681,25083,16111,6345,3879,2420,150869,121036,22544,4975,1730,139,329,116,,,,252388,101519,47681,25083,16111,12644,150869,121036,22544,4975,1730,584,04001US11,District of Columbia -- Urban
1,ACSSF,20100.0,dc,0,48,3,252388,101519,47681,25083,16111,6345,3879,2420,150869,121036,22544,4975,1730,139,329,116,,,,252388,101519,47681,25083,16111,12644,150869,121036,22544,4975,1730,584,040A0US11,District of Columbia -- In metropolitan or micropolitan statistical area
2,ACSSF,20100.0,dc,0,48,4,252388,101519,47681,25083,16111,6345,3879,2420,150869,121036,22544,4975,1730,139,329,116,,,,252388,101519,47681,25083,16111,12644,150869,121036,22544,4975,1730,584,040C0US11,District of Columbia -- In metropolitan statistical area
3,ACSSF,20100.0,dc,0,48,5,252388,101519,47681,25083,16111,6345,3879,2420,150869,121036,22544,4975,1730,139,329,116,,,,252388,101519,47681,25083,16111,12644,150869,121036,22544,4975,1730,584,040C1US11,District of Columbia -- In metropolitan statistical area -- in principal city
4,ACSSF,20100.0,dc,0,48,6,252388,101519,47681,25083,16111,6345,3879,2420,150869,121036,22544,4975,1730,139,329,116,,,,252388,101519,47681,25083,16111,12644,150869,121036,22544,4975,1730,584,05000US11001,"District of Columbia, District of Columbia"
5,ACSSF,20100.0,dc,0,48,7,252388,101519,47681,25083,16111,6345,3879,2420,150869,121036,22544,4975,1730,139,329,116,,,,252388,101519,47681,25083,16111,12644,150869,121036,22544,4975,1730,584,16000US1150000,"Washington city, District of Columbia"
6,ACSSF,20100.0,dc,0,48,8,252388,101519,47681,25083,16111,6345,3879,2420,150869,121036,22544,4975,1730,139,329,116,,,,252388,101519,47681,25083,16111,12644,150869,121036,22544,4975,1730,584,31200US479001150000,"Washington city, DC; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
7,ACSSF,20100.0,dc,0,48,9,252388,101519,47681,25083,16111,6345,3879,2420,150869,121036,22544,4975,1730,139,329,116,,,,252388,101519,47681,25083,16111,12644,150869,121036,22544,4975,1730,584,50000US1198,"Delegate District (at Large) (111th Congress), District of Columbia"
8,ACSSF,20100.0,dc,0,48,10,47121,20216,10364,3894,4478,1111,369,0,26905,21515,4235,645,510,0,0,0,,,,47121,20216,10364,3894,4478,1480,26905,21515,4235,645,510,0,79500US1100101,"PUMA5 00101, District of Columbia"
9,ACSSF,20100.0,dc,0,48,11,45007,19119,7557,5208,3127,1329,964,934,25888,19911,4298,961,273,48,329,68,,,,45007,19119,7557,5208,3127,3227,25888,19911,4298,961,273,445,79500US1100102,"PUMA5 00102, District of Columbia"
10,ACSSF,20100.0,dc,0,48,12,52432,23116,9817,6418,3423,1884,1029,545,29316,22818,4500,1531,376,91,0,0,,,,52432,23116,9817,6418,3423,3458,29316,22818,4500,1531,376,91,79500US1100103,"PUMA5 00103, District of Columbia"
11,ACSSF,20100.0,dc,0,48,13,49299,25030,11300,6412,3803,1460,1145,910,24269,22149,1837,40,243,0,0,0,,,,49299,25030,11300,6412,3803,3515,24269,22149,1837,40,243,0,79500US1100104,"PUMA5 00104, District of Columbia"
12,ACSSF,20100.0,dc,0,48,14,58529,14038,8643,3151,1280,561,372,31,44491,34643,7674,1798,328,0,0,48,,,,58529,14038,8643,3151,1280,964,44491,34643,7674,1798,328,48,79500US1100105,"PUMA5 00105, District of Columbia"
13,ACSSF,20100.0,dc,0,48,15,252388,101519,47681,25083,16111,6345,3879,2420,150869,121036,22544,4975,1730,139,329,116,,,,252388,101519,47681,25083,16111,12644,150869,121036,22544,4975,1730,584,97000US1100030,"District of Columbia Public Schools, District of Columbia"
