,FILEID,FILETYPE,STUSAB,CHARITER,SEQUENCE,LOGRECNO,Population in Group Quarters,Geographic Identifier,Area Name
0,ACSSF,20100.0,dc,0,156,2,40021,04001US11,District of Columbia -- Urban
1,ACSSF,20100.0,dc,0,156,3,40021,040A0US11,District of Columbia -- In metropolitan or micropolitan statistical area
2,ACSSF,20100.0,dc,0,156,4,40021,040C0US11,District of Columbia -- In metropolitan statistical area
3,ACSSF,20100.0,dc,0,156,5,40021,040C1US11,District of Columbia -- In metropolitan statistical area -- in principal city
4,ACSSF,20100.0,dc,0,156,6,40021,05000US11001,"District of Columbia, District of Columbia"
5,ACSSF,20100.0,dc,0,156,7,40021,16000US1150000,"Washington city, District of Columbia"
6,ACSSF,20100.0,dc,0,156,8,40021,31200US479001150000,"Washington city, DC; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
7,ACSSF,20100.0,dc,0,156,9,40021,50000US1198,"Delegate District (at Large) (111th Congress), District of Columbia"
8,ACSSF,20100.0,dc,0,156,10,11646,79500US1100101,"PUMA5 00101, District of Columbia"
9,ACSSF,20100.0,dc,0,156,11,3479,79500US1100102,"PUMA5 00102, District of Columbia"
10,ACSSF,20100.0,dc,0,156,12,8765,79500US1100103,"PUMA5 00103, District of Columbia"
11,ACSSF,20100.0,dc,0,156,13,3906,79500US1100104,"PUMA5 00104, District of Columbia"
12,ACSSF,20100.0,dc,0,156,14,12225,79500US1100105,"PUMA5 00105, District of Columbia"
13,ACSSF,20100.0,dc,0,156,15,40021,97000US1100030,"District of Columbia Public Schools, District of Columbia"
