,FILEID,FILETYPE,STUSAB,CHARITER,SEQUENCE,LOGRECNO,Population in Group Quarters,Geographic Identifier,Area Name
0,ACSSF,20120.0,dc,0,163,2,40192,04001US11,District of Columbia -- Urban
1,ACSSF,20120.0,dc,0,163,3,40192,040A0US11,District of Columbia -- In metropolitan or micropolitan statistical area
2,ACSSF,20120.0,dc,0,163,4,40192,040C0US11,District of Columbia -- In metropolitan statistical area
3,ACSSF,20120.0,dc,0,163,5,40192,040C1US11,District of Columbia -- In metropolitan statistical area -- in principal city
4,ACSSF,20120.0,dc,0,163,6,40192,05000US11001,"District of Columbia, District of Columbia"
5,ACSSF,20120.0,dc,0,163,7,40192,16000US1150000,"Washington city, District of Columbia"
6,ACSSF,20120.0,dc,0,163,8,40192,31200US479001150000,"Washington city, DC; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
7,ACSSF,20120.0,dc,0,163,9,40192,50000US1198,"Delegate District (at Large) (113th Congress), District of Columbia"
8,ACSSF,20120.0,dc,0,163,10,9582,79500US1100101,"District of Columbia (West) PUMA, District of Columbia"
9,ACSSF,20120.0,dc,0,163,11,3649,79500US1100102,"District of Columbia (North) PUMA, District of Columbia"
10,ACSSF,20120.0,dc,0,163,12,8203,79500US1100103,"District of Columbia (Northeast) PUMA, District of Columbia"
11,ACSSF,20120.0,dc,0,163,13,4747,79500US1100104,"District of Columbia (East) PUMA, District of Columbia"
12,ACSSF,20120.0,dc,0,163,14,14011,79500US1100105,"District of Columbia (Central) PUMA, District of Columbia"
13,ACSSF,20120.0,dc,0,163,15,40192,97000US1100030,"District of Columbia Public Schools, District of Columbia"
