,FILEID,FILETYPE,STUSAB,CHARITER,SEQUENCE,LOGRECNO,Total population,Total population% Afghan,Total population% Albanian,Total population% Alsatian,Total population% American,Total population% Arab:,Total population% Arab:% Egyptian,Total population% Arab:% Iraqi,Total population% Arab:% Jordanian,Total population% Arab:% Lebanese,Total population% Arab:% Moroccan,Total population% Arab:% Palestinian,Total population% Arab:% Syrian,Total population% Arab:% Arab,Total population% Arab:% Other Arab,Total population% Armenian,Total population% Assyrian/Chaldean/Syriac,Total population% Australian,Total population% Austrian,Total population% Basque,Total population% Belgian,Total population% Brazilian,Total population% British,Total population% Bulgarian,Total population% Cajun,Total population% Canadian,Total population% Carpatho Rusyn,Total population% Celtic,Total population% Croatian,Total population% Cypriot,Total population% Czech,Total population% Czechoslovakian,Total population% Danish,Total population% Dutch,Total population% Eastern European,Total population% English,Total population% Estonian,Total population% European,Total population% Finnish,Total population% French (except Basque),Total population% French Canadian,Total population% German,Total population% German Russian,Total population% Greek,Total population% Guyanese,Total population% Hungarian,Total population% Icelander,Total population% Iranian,Total population% Irish,Total population% Israeli,Total population% Italian,Total population% Latvian,Total population% Lithuanian,Total population% Luxemburger,Total population% Macedonian,Total population% Maltese,Total population% New Zealander,Total population% Northern European,Total population% Norwegian,Total population% Pennsylvania German,Total population% Polish,Total population% Portuguese,Total population% Romanian,Total population% Russian,Total population% Scandinavian,Total population% Scotch-Irish,Total population% Scottish,Total population% Serbian,Total population% Slavic,Total population% Slovak,Total population% Slovene,Total population% Soviet Union,Total population% Subsaharan African:,Total population% Subsaharan African:% Cape Verdean,Total population% Subsaharan African:% Ethiopian,Total population% Subsaharan African:% Ghanaian,Total population% Subsaharan African:% Kenyan,Total population% Subsaharan African:% Liberian,Total population% Subsaharan African:% Nigerian,Total population% Subsaharan African:% Senegalese,Total population% Subsaharan African:% Sierra Leonean,Total population% Subsaharan African:% Somalian,Total population% Subsaharan African:% South African,Total population% Subsaharan African:% Sudanese,Total population% Subsaharan African:% Ugandan,Total population% Subsaharan African:% Zimbabwean,Total population% Subsaharan African:% African,Total population% Subsaharan African:% Other Subsaharan African,Total population% Swedish,Total population% Swiss,Total population% Turkish,Total population% Ukrainian,Total population% Welsh,Total population% West Indian (except Hispanic groups):,Total population% West Indian (except Hispanic groups):% Bahamian,Total population% West Indian (except Hispanic groups):% Barbadian,Total population% West Indian (except Hispanic groups):% Belizean,Total population% West Indian (except Hispanic groups):% Bermudan,Total population% West Indian (except Hispanic groups):% British West Indian,Total population% West Indian (except Hispanic groups):% Dutch West Indian,Total population% West Indian (except Hispanic groups):% Haitian,Total population% West Indian (except Hispanic groups):% Jamaican,Total population% West Indian (except Hispanic groups):% Trinidadian and Tobagonian,Total population% West Indian (except Hispanic groups):% U.S. Virgin Islander,Total population% West Indian (except Hispanic groups):% West Indian,Total population% West Indian (except Hispanic groups):% Other West Indian,Total population% Yugoslavian,Total population% Other groups,Total population% Unclassified or not reported,Total population,Total population% American,Total population% Arab,Total population% British,Total population% Czech,Total population% Danish,Total population% Dutch,Total population% English,Total population% European,Total population% French (except Basque),Total population% French Canadian,Total population% German,Total population% Greek,Total population% Hungarian,Total population% Irish,Total population% Italian,Total population% Lithuanian,Total population% Norwegian,Total population% Polish,Total population% Portuguese,Total population% Russian,Total population% Scotch-Irish,Total population% Scottish,Total population% Slovak,Total population% Subsaharan African,Total population% Swedish,Total population% Swiss,Total population% Ukrainian,Total population% Welsh,Total population% West Indian (except Hispanic groups),Total population% Other groups,Total population% Unclassified or not reported,Geographic Identifier,Area Name
0,ACSSF,20120.0,dc,0,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632323.0,7026.0,702.0,1029.0,558.0,900.0,1017.0,14412.0,995.0,4582.0,589.0,16713.0,359.0,1396.0,12986.0,5886.0,831.0,1483.0,5232.0,193.0,5565.0,1337.0,4430.0,640.0,1636.0,2021.0,704.0,1162.0,1090.0,1169.0,28264.0,507416.0,04001US11,District of Columbia -- Urban
1,ACSSF,20120.0,dc,0,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632323.0,7026.0,702.0,1029.0,558.0,900.0,1017.0,14412.0,995.0,4582.0,589.0,16713.0,359.0,1396.0,12986.0,5886.0,831.0,1483.0,5232.0,193.0,5565.0,1337.0,4430.0,640.0,1636.0,2021.0,704.0,1162.0,1090.0,1169.0,28264.0,507416.0,040A0US11,District of Columbia -- In metropolitan or micropolitan statistical area
2,ACSSF,20120.0,dc,0,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632323.0,7026.0,702.0,1029.0,558.0,900.0,1017.0,14412.0,995.0,4582.0,589.0,16713.0,359.0,1396.0,12986.0,5886.0,831.0,1483.0,5232.0,193.0,5565.0,1337.0,4430.0,640.0,1636.0,2021.0,704.0,1162.0,1090.0,1169.0,28264.0,507416.0,040C0US11,District of Columbia -- In metropolitan statistical area
3,ACSSF,20120.0,dc,0,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632323.0,7026.0,702.0,1029.0,558.0,900.0,1017.0,14412.0,995.0,4582.0,589.0,16713.0,359.0,1396.0,12986.0,5886.0,831.0,1483.0,5232.0,193.0,5565.0,1337.0,4430.0,640.0,1636.0,2021.0,704.0,1162.0,1090.0,1169.0,28264.0,507416.0,040C1US11,District of Columbia -- In metropolitan statistical area -- in principal city
4,ACSSF,20120.0,dc,0,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632323.0,7026.0,702.0,1029.0,558.0,900.0,1017.0,14412.0,995.0,4582.0,589.0,16713.0,359.0,1396.0,12986.0,5886.0,831.0,1483.0,5232.0,193.0,5565.0,1337.0,4430.0,640.0,1636.0,2021.0,704.0,1162.0,1090.0,1169.0,28264.0,507416.0,05000US11001,"District of Columbia, District of Columbia"
5,ACSSF,20120.0,dc,0,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632323.0,7026.0,702.0,1029.0,558.0,900.0,1017.0,14412.0,995.0,4582.0,589.0,16713.0,359.0,1396.0,12986.0,5886.0,831.0,1483.0,5232.0,193.0,5565.0,1337.0,4430.0,640.0,1636.0,2021.0,704.0,1162.0,1090.0,1169.0,28264.0,507416.0,16000US1150000,"Washington city, District of Columbia"
6,ACSSF,20120.0,dc,0,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632323.0,7026.0,702.0,1029.0,558.0,900.0,1017.0,14412.0,995.0,4582.0,589.0,16713.0,359.0,1396.0,12986.0,5886.0,831.0,1483.0,5232.0,193.0,5565.0,1337.0,4430.0,640.0,1636.0,2021.0,704.0,1162.0,1090.0,1169.0,28264.0,507416.0,31200US479001150000,"Washington city, DC; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
7,ACSSF,20120.0,dc,0,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632323.0,7026.0,702.0,1029.0,558.0,900.0,1017.0,14412.0,995.0,4582.0,589.0,16713.0,359.0,1396.0,12986.0,5886.0,831.0,1483.0,5232.0,193.0,5565.0,1337.0,4430.0,640.0,1636.0,2021.0,704.0,1162.0,1090.0,1169.0,28264.0,507416.0,50000US1198,"Delegate District (at Large) (113th Congress), District of Columbia"
8,ACSSF,20120.0,dc,0,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108726.0,1066.0,276.0,485.0,290.0,234.0,122.0,5863.0,299.0,1453.0,276.0,4875.0,115.0,451.0,3913.0,3008.0,134.0,732.0,2179.0,31.0,2612.0,850.0,1792.0,267.0,62.0,569.0,264.0,250.0,147.0,0.0,5914.0,70197.0,79500US1100101,"District of Columbia (West) PUMA, District of Columbia"
9,ACSSF,20120.0,dc,0,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79500US1100102,"District of Columbia (North) PUMA, District of Columbia"
