,FILEID,FILETYPE,STUSAB,CHARITER,SEQUENCE,LOGRECNO,Total population,Housing units,Geographic Identifier,Area Name
0,ACSSF,20100.0,dc,0,12,2,7657,3819,04001US11,District of Columbia -- Urban
1,ACSSF,20100.0,dc,0,12,3,7657,3819,040A0US11,District of Columbia -- In metropolitan or micropolitan statistical area
2,ACSSF,20100.0,dc,0,12,4,7657,3819,040C0US11,District of Columbia -- In metropolitan statistical area
3,ACSSF,20100.0,dc,0,12,5,7657,3819,040C1US11,District of Columbia -- In metropolitan statistical area -- in principal city
4,ACSSF,20100.0,dc,0,12,6,7657,3819,05000US11001,"District of Columbia, District of Columbia"
5,ACSSF,20100.0,dc,0,12,7,7657,3819,16000US1150000,"Washington city, District of Columbia"
6,ACSSF,20100.0,dc,0,12,8,7657,3819,31200US479001150000,"Washington city, DC; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
7,ACSSF,20100.0,dc,0,12,9,7657,3819,50000US1198,"Delegate District (at Large) (111th Congress), District of Columbia"
8,ACSSF,20100.0,dc,0,12,10,1483,679,79500US1100101,"PUMA5 00101, District of Columbia"
9,ACSSF,20100.0,dc,0,12,11,1435,677,79500US1100102,"PUMA5 00102, District of Columbia"
10,ACSSF,20100.0,dc,0,12,12,1796,835,79500US1100103,"PUMA5 00103, District of Columbia"
11,ACSSF,20100.0,dc,0,12,13,1451,766,79500US1100104,"PUMA5 00104, District of Columbia"
12,ACSSF,20100.0,dc,0,12,14,1492,862,79500US1100105,"PUMA5 00105, District of Columbia"
13,ACSSF,20100.0,dc,0,12,15,7657,3819,97000US1100030,"District of Columbia Public Schools, District of Columbia"
