,FILEID,FILETYPE,STUSAB,CHARITER,SEQUENCE,LOGRECNO,Total population,Housing units,Geographic Identifier,Area Name
0,ACSSF,20130.0,dc,0,1,2,10059,4456,04001US11,District of Columbia -- Urban
1,ACSSF,20130.0,dc,0,1,3,10059,4456,040A0US11,District of Columbia -- In metropolitan or micropolitan statistical area
2,ACSSF,20130.0,dc,0,1,4,10059,4456,040C0US11,District of Columbia -- In metropolitan statistical area
3,ACSSF,20130.0,dc,0,1,5,10059,4456,040C1US11,District of Columbia -- In metropolitan statistical area -- in principal city
4,ACSSF,20130.0,dc,0,1,6,10059,4456,05000US11001,"District of Columbia, District of Columbia"
5,ACSSF,20130.0,dc,0,1,7,10059,4456,16000US1150000,"Washington city, District of Columbia"
6,ACSSF,20130.0,dc,0,1,8,10059,4456,31200US479001150000,"Washington city, DC; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
7,ACSSF,20130.0,dc,0,1,9,10059,4456,50000US1198,"Delegate District (at Large) (113th Congress), District of Columbia"
8,ACSSF,20130.0,dc,0,1,10,1579,645,79500US1100101,"District of Columbia (West) PUMA, District of Columbia"
9,ACSSF,20130.0,dc,0,1,11,1879,763,79500US1100102,"District of Columbia (North) PUMA, District of Columbia"
10,ACSSF,20130.0,dc,0,1,12,2108,904,79500US1100103,"District of Columbia (Northeast) PUMA, District of Columbia"
11,ACSSF,20130.0,dc,0,1,13,2126,982,79500US1100104,"District of Columbia (East) PUMA, District of Columbia"
12,ACSSF,20130.0,dc,0,1,14,2367,1162,79500US1100105,"District of Columbia (Central) PUMA, District of Columbia"
13,ACSSF,20130.0,dc,0,1,15,10059,4456,97000US1100030,"District of Columbia Public Schools, District of Columbia"
