,FILEID,FILETYPE,STUSAB,CHARITER,SEQUENCE,LOGRECNO,Population in Group Quarters,Geographic Identifier,Area Name
0,ACSSF,20110.0,dc,0,163,2,40056,04001US11,District of Columbia -- Urban
1,ACSSF,20110.0,dc,0,163,3,40056,040A0US11,District of Columbia -- In metropolitan or micropolitan statistical area
2,ACSSF,20110.0,dc,0,163,4,40056,040C0US11,District of Columbia -- In metropolitan statistical area
3,ACSSF,20110.0,dc,0,163,5,40056,040C1US11,District of Columbia -- In metropolitan statistical area -- in principal city
4,ACSSF,20110.0,dc,0,163,6,40056,05000US11001,"District of Columbia, District of Columbia"
5,ACSSF,20110.0,dc,0,163,7,40056,16000US1150000,"Washington city, District of Columbia"
6,ACSSF,20110.0,dc,0,163,8,40056,31200US479001150000,"Washington city, DC; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
7,ACSSF,20110.0,dc,0,163,9,40056,50000US1198,"Delegate District (at Large) (112th Congress), District of Columbia"
8,ACSSF,20110.0,dc,0,163,10,10799,79500US1100101,"PUMA5 00101, District of Columbia"
9,ACSSF,20110.0,dc,0,163,11,1403,79500US1100102,"PUMA5 00102, District of Columbia"
10,ACSSF,20110.0,dc,0,163,12,10459,79500US1100103,"PUMA5 00103, District of Columbia"
11,ACSSF,20110.0,dc,0,163,13,4012,79500US1100104,"PUMA5 00104, District of Columbia"
12,ACSSF,20110.0,dc,0,163,14,13383,79500US1100105,"PUMA5 00105, District of Columbia"
13,ACSSF,20110.0,dc,0,163,15,40056,97000US1100030,"District of Columbia Public Schools, District of Columbia"
