,FILEID,FILETYPE,STUSAB,CHARITER,SEQUENCE,LOGRECNO,UNWEIGHTED SAMPLE COUNT OF THE POPULATION for Total population,UNWEIGHTED SAMPLE HOUSING UNITS for Housing units,Geographic Identifier,Area Name
0,ACSSF,20150.0,dc,0,1,2,10492,4696,04001US11,District of Columbia -- Urban
1,ACSSF,20150.0,dc,0,1,3,10492,4696,040A0US11,District of Columbia -- In metropolitan or micropolitan statistical area
2,ACSSF,20150.0,dc,0,1,4,10492,4696,040C0US11,District of Columbia -- In metropolitan statistical area
3,ACSSF,20150.0,dc,0,1,5,10492,4696,040C1US11,District of Columbia -- In metropolitan statistical area -- in principal city
4,ACSSF,20150.0,dc,0,1,6,10492,4696,05000US11001,"District of Columbia, District of Columbia"
5,ACSSF,20150.0,dc,0,1,7,10492,4696,16000US1150000,"Washington city, District of Columbia"
6,ACSSF,20150.0,dc,0,1,8,10492,4696,31200US479001150000,"Washington city, DC; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
7,ACSSF,20150.0,dc,0,1,9,10492,4696,50000US1198,"Delegate District (at Large) (114th Congress), District of Columbia"
8,ACSSF,20150.0,dc,0,1,10,1646,694,79500US1100101,"District of Columbia (West) PUMA, District of Columbia"
9,ACSSF,20150.0,dc,0,1,11,1902,789,79500US1100102,"District of Columbia (North) PUMA, District of Columbia"
10,ACSSF,20150.0,dc,0,1,12,2177,974,79500US1100103,"District of Columbia (Northeast) PUMA, District of Columbia"
11,ACSSF,20150.0,dc,0,1,13,2210,991,79500US1100104,"District of Columbia (East) PUMA, District of Columbia"
12,ACSSF,20150.0,dc,0,1,14,2557,1248,79500US1100105,"District of Columbia (Central) PUMA, District of Columbia"
13,ACSSF,20150.0,dc,0,1,15,10492,4696,97000US1100030,"District of Columbia Public Schools, District of Columbia"
