,FILEID,FILETYPE,STUSAB,CHARITER,SEQUENCE,LOGRECNO,Total population,Total population%Afghan,Total population%Albanian,Total population%Alsatian,Total population%American,Total population%Arab:,Total population%Arab:%Egyptian,Total population%Arab:%Iraqi,Total population%Arab:%Jordanian,Total population%Arab:%Lebanese,Total population%Arab:%Moroccan,Total population%Arab:%Palestinian,Total population%Arab:%Syrian,Total population%Arab:%Arab,Total population%Arab:%Other Arab,Total population%Armenian,Total population%Assyrian/Chaldean/Syriac,Total population%Australian,Total population%Austrian,Total population%Basque,Total population%Belgian,Total population%Brazilian,Total population%British,Total population%Bulgarian,Total population%Cajun,Total population%Canadian,Total population%Carpatho Rusyn,Total population%Celtic,Total population%Croatian,Total population%Cypriot,Total population%Czech,Total population%Czechoslovakian,Total population%Danish,Total population%Dutch,Total population%Eastern European,Total population%English,Total population%Estonian,Total population%European,Total population%Finnish,Total population%French (except Basque),Total population%French Canadian,Total population%German,Total population%German Russian,Total population%Greek,Total population%Guyanese,Total population%Hungarian,Total population%Icelander,Total population%Iranian,Total population%Irish,Total population%Israeli,Total population%Italian,Total population%Latvian,Total population%Lithuanian,Total population%Luxemburger,Total population%Macedonian,Total population%Maltese,Total population%New Zealander,Total population%Northern European,Total population%Norwegian,Total population%Pennsylvania German,Total population%Polish,Total population%Portuguese,Total population%Romanian,Total population%Russian,Total population%Scandinavian,Total population%Scotch-Irish,Total population%Scottish,Total population%Serbian,Total population%Slavic,Total population%Slovak,Total population%Slovene,Total population%Soviet Union,Total population%Subsaharan African:,Total population%Subsaharan African:%Cape Verdean,Total population%Subsaharan African:%Ethiopian,Total population%Subsaharan African:%Ghanaian,Total population%Subsaharan African:%Kenyan,Total population%Subsaharan African:%Liberian,Total population%Subsaharan African:%Nigerian,Total population%Subsaharan African:%Senegalese,Total population%Subsaharan African:%Sierra Leonean,Total population%Subsaharan African:%Somalian,Total population%Subsaharan African:%South African,Total population%Subsaharan African:%Sudanese,Total population%Subsaharan African:%Ugandan,Total population%Subsaharan African:%Zimbabwean,Total population%Subsaharan African:%African,Total population%Subsaharan African:%Other Subsaharan African,Total population%Swedish,Total population%Swiss,Total population%Turkish,Total population%Ukrainian,Total population%Welsh,Total population%West Indian (except Hispanic groups):,Total population%West Indian (except Hispanic groups):%Bahamian,Total population%West Indian (except Hispanic groups):%Barbadian,Total population%West Indian (except Hispanic groups):%Belizean,Total population%West Indian (except Hispanic groups):%Bermudan,Total population%West Indian (except Hispanic groups):%British West Indian,Total population%West Indian (except Hispanic groups):%Dutch West Indian,Total population%West Indian (except Hispanic groups):%Haitian,Total population%West Indian (except Hispanic groups):%Jamaican,Total population%West Indian (except Hispanic groups):%Trinidadian and Tobagonian,Total population%West Indian (except Hispanic groups):%U.S. Virgin Islander,Total population%West Indian (except Hispanic groups):%West Indian,Total population%West Indian (except Hispanic groups):%Other West Indian,Total population%Yugoslavian,Total population%Other groups,Total population%Unclassified or not reported,Total population,Total population%American,Total population%Arab,Total population%British,Total population%Czech,Total population%Danish,Total population%Dutch,Total population%English,Total population%European,Total population%French (except Basque),Total population%French Canadian,Total population%German,Total population%Greek,Total population%Hungarian,Total population%Irish,Total population%Italian,Total population%Lithuanian,Total population%Norwegian,Total population%Polish,Total population%Portuguese,Total population%Russian,Total population%Scotch-Irish,Total population%Scottish,Total population%Slovak,Total population%Subsaharan African,Total population%Swedish,Total population%Swiss,Total population%Ukrainian,Total population%Welsh,Total population%West Indian (except Hispanic groups),Total population%Other groups,Total population%Unclassified or not reported,Geographic Identifier,Area Name
0,ACSSF,20110.0,dc,0,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,617996.0,8155.0,1764.0,841.0,856.0,550.0,1599.0,9322.0,1502.0,3992.0,1063.0,17163.0,105.0,749.0,13263.0,5139.0,1091.0,1539.0,4987.0,588.0,2679.0,1168.0,2949.0,274.0,1249.0,1282.0,813.0,900.0,1465.0,1043.0,27011.0,502895.0,04001US11,District of Columbia -- Urban
1,ACSSF,20110.0,dc,0,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,617996.0,8155.0,1764.0,841.0,856.0,550.0,1599.0,9322.0,1502.0,3992.0,1063.0,17163.0,105.0,749.0,13263.0,5139.0,1091.0,1539.0,4987.0,588.0,2679.0,1168.0,2949.0,274.0,1249.0,1282.0,813.0,900.0,1465.0,1043.0,27011.0,502895.0,040A0US11,District of Columbia -- In metropolitan or micropolitan statistical area
2,ACSSF,20110.0,dc,0,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,617996.0,8155.0,1764.0,841.0,856.0,550.0,1599.0,9322.0,1502.0,3992.0,1063.0,17163.0,105.0,749.0,13263.0,5139.0,1091.0,1539.0,4987.0,588.0,2679.0,1168.0,2949.0,274.0,1249.0,1282.0,813.0,900.0,1465.0,1043.0,27011.0,502895.0,040C0US11,District of Columbia -- In metropolitan statistical area
3,ACSSF,20110.0,dc,0,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,617996.0,8155.0,1764.0,841.0,856.0,550.0,1599.0,9322.0,1502.0,3992.0,1063.0,17163.0,105.0,749.0,13263.0,5139.0,1091.0,1539.0,4987.0,588.0,2679.0,1168.0,2949.0,274.0,1249.0,1282.0,813.0,900.0,1465.0,1043.0,27011.0,502895.0,040C1US11,District of Columbia -- In metropolitan statistical area -- in principal city
4,ACSSF,20110.0,dc,0,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,617996.0,8155.0,1764.0,841.0,856.0,550.0,1599.0,9322.0,1502.0,3992.0,1063.0,17163.0,105.0,749.0,13263.0,5139.0,1091.0,1539.0,4987.0,588.0,2679.0,1168.0,2949.0,274.0,1249.0,1282.0,813.0,900.0,1465.0,1043.0,27011.0,502895.0,05000US11001,"District of Columbia, District of Columbia"
5,ACSSF,20110.0,dc,0,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,617996.0,8155.0,1764.0,841.0,856.0,550.0,1599.0,9322.0,1502.0,3992.0,1063.0,17163.0,105.0,749.0,13263.0,5139.0,1091.0,1539.0,4987.0,588.0,2679.0,1168.0,2949.0,274.0,1249.0,1282.0,813.0,900.0,1465.0,1043.0,27011.0,502895.0,16000US1150000,"Washington city, District of Columbia"
6,ACSSF,20110.0,dc,0,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,617996.0,8155.0,1764.0,841.0,856.0,550.0,1599.0,9322.0,1502.0,3992.0,1063.0,17163.0,105.0,749.0,13263.0,5139.0,1091.0,1539.0,4987.0,588.0,2679.0,1168.0,2949.0,274.0,1249.0,1282.0,813.0,900.0,1465.0,1043.0,27011.0,502895.0,31200US479001150000,"Washington city, DC; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
7,ACSSF,20110.0,dc,0,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,617996.0,8155.0,1764.0,841.0,856.0,550.0,1599.0,9322.0,1502.0,3992.0,1063.0,17163.0,105.0,749.0,13263.0,5139.0,1091.0,1539.0,4987.0,588.0,2679.0,1168.0,2949.0,274.0,1249.0,1282.0,813.0,900.0,1465.0,1043.0,27011.0,502895.0,50000US1198,"Delegate District (at Large) (112th Congress), District of Columbia"
8,ACSSF,20110.0,dc,0,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107960.0,618.0,1053.0,472.0,241.0,230.0,486.0,3550.0,546.0,1866.0,418.0,7234.0,72.0,281.0,4774.0,2052.0,519.0,212.0,1935.0,412.0,1178.0,642.0,883.0,48.0,0.0,587.0,422.0,371.0,512.0,411.0,6588.0,69347.0,79500US1100101,"PUMA5 00101, District of Columbia"
9,ACSSF,20110.0,dc,0,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113679.0,1947.0,324.0,121.0,48.0,31.0,293.0,1034.0,647.0,570.0,305.0,2402.0,33.0,78.0,1858.0,648.0,145.0,273.0,495.0,0.0,244.0,101.0,590.0,40.0,424.0,179.0,58.0,0.0,151.0,99.0,5738.0,94803.0,79500US1100102,"PUMA5 00102, District of Columbia"
