,FILEID,FILETYPE,STUSAB,CHARITER,SEQUENCE,LOGRECNO,Workers 16 years and over,Workers 16 years and over% Imputed,Workers 16 years and over% Not imputed,Workers 16 years and over,Workers 16 years and over% Did not work at home:,Workers 16 years and over% Did not work at home:% Time arriving at work from home --% Imputed for either departure time or minutes to work,Workers 16 years and over% Did not work at home:% Time arriving at work from home --% Not imputed for either departure time or minutes to work,Workers 16 years and over% Worked at home,Workers 16 years and over,Workers 16 years and over% Did not work at home:,Workers 16 years and over% Did not work at home:% Travel time to work --% Imputed,Workers 16 years and over% Did not work at home:% Travel time to work --% Not imputed,Workers 16 years and over% Worked at home,Workers 16 years and over in households,Workers 16 years and over in households% Imputed,Workers 16 years and over in households% Not imputed,Geographic Identifier,Area Name
0,ACSSF,20100.0,dc,0,11,2,,,,,,,,,,,,,,,,,04001US11,District of Columbia -- Urban
1,ACSSF,20100.0,dc,0,11,3,,,,,,,,,,,,,,,,,040A0US11,District of Columbia -- In metropolitan or micropolitan statistical area
2,ACSSF,20100.0,dc,0,11,4,,,,,,,,,,,,,,,,,040C0US11,District of Columbia -- In metropolitan statistical area
3,ACSSF,20100.0,dc,0,11,5,,,,,,,,,,,,,,,,,040C1US11,District of Columbia -- In metropolitan statistical area -- in principal city
4,ACSSF,20100.0,dc,0,11,6,784987.0,46746.0,738241.0,784987.0,770117.0,85326.0,684791.0,14870.0,784987.0,770117.0,61580.0,708537.0,14870.0,779710.0,6953.0,772757.0,05000US11001,"District of Columbia, District of Columbia"
5,ACSSF,20100.0,dc,0,11,7,784987.0,46746.0,738241.0,784987.0,770117.0,85326.0,684791.0,14870.0,784987.0,770117.0,61580.0,708537.0,14870.0,779710.0,6953.0,772757.0,16000US1150000,"Washington city, District of Columbia"
6,ACSSF,20100.0,dc,0,11,8,784987.0,46746.0,738241.0,784987.0,770117.0,85326.0,684791.0,14870.0,784987.0,770117.0,61580.0,708537.0,14870.0,779710.0,6953.0,772757.0,31200US479001150000,"Washington city, DC; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
7,ACSSF,20100.0,dc,0,11,9,,,,,,,,,,,,,,,,,50000US1198,"Delegate District (at Large) (111th Congress), District of Columbia"
8,ACSSF,20100.0,dc,0,11,10,,,,,,,,,,,,,,,,,79500US1100101,"PUMA5 00101, District of Columbia"
9,ACSSF,20100.0,dc,0,11,11,,,,,,,,,,,,,,,,,79500US1100102,"PUMA5 00102, District of Columbia"
10,ACSSF,20100.0,dc,0,11,12,,,,,,,,,,,,,,,,,79500US1100103,"PUMA5 00103, District of Columbia"
11,ACSSF,20100.0,dc,0,11,13,,,,,,,,,,,,,,,,,79500US1100104,"PUMA5 00104, District of Columbia"
12,ACSSF,20100.0,dc,0,11,14,,,,,,,,,,,,,,,,,79500US1100105,"PUMA5 00105, District of Columbia"
13,ACSSF,20100.0,dc,0,11,15,,,,,,,,,,,,,,,,,97000US1100030,"District of Columbia Public Schools, District of Columbia"
