ACSSF,2015e1,dc,000,0163,0000001,839206,82776,756430,839206,817677,152290,665387,21529,839206,817677,113880,703797,21529,829317,6535,822782
ACSSF,2015e1,dc,000,0163,0000002,,,,,,,,,,,,,,,,
ACSSF,2015e1,dc,000,0163,0000003,,,,,,,,,,,,,,,,
ACSSF,2015e1,dc,000,0163,0000004,,,,,,,,,,,,,,,,
ACSSF,2015e1,dc,000,0163,0000005,,,,,,,,,,,,,,,,
ACSSF,2015e1,dc,000,0163,0000006,839206,82776,756430,839206,817677,152290,665387,21529,839206,817677,113880,703797,21529,829317,6535,822782
ACSSF,2015e1,dc,000,0163,0000007,839206,82776,756430,839206,817677,152290,665387,21529,839206,817677,113880,703797,21529,829317,6535,822782
ACSSF,2015e1,dc,000,0163,0000008,839206,82776,756430,839206,817677,152290,665387,21529,839206,817677,113880,703797,21529,829317,6535,822782
ACSSF,2015e1,dc,000,0163,0000009,,,,,,,,,,,,,,,,
ACSSF,2015e1,dc,000,0163,0000010,,,,,,,,,,,,,,,,
ACSSF,2015e1,dc,000,0163,0000011,,,,,,,,,,,,,,,,
ACSSF,2015e1,dc,000,0163,0000012,,,,,,,,,,,,,,,,
ACSSF,2015e1,dc,000,0163,0000013,,,,,,,,,,,,,,,,
ACSSF,2015e1,dc,000,0163,0000014,,,,,,,,,,,,,,,,
ACSSF,2015e1,dc,000,0163,0000015,,,,,,,,,,,,,,,,
