ACSSF,2016e1,dc,000,0001,0000001,9990,4585
ACSSF,2016e1,dc,000,0001,0000002,9990,4585
ACSSF,2016e1,dc,000,0001,0000003,9990,4585
ACSSF,2016e1,dc,000,0001,0000004,9990,4585
ACSSF,2016e1,dc,000,0001,0000005,9990,4585
ACSSF,2016e1,dc,000,0001,0000006,9990,4585
ACSSF,2016e1,dc,000,0001,0000007,9990,4585
ACSSF,2016e1,dc,000,0001,0000008,9990,4585
ACSSF,2016e1,dc,000,0001,0000009,9990,4585
ACSSF,2016e1,dc,000,0001,0000010,1560,640
ACSSF,2016e1,dc,000,0001,0000011,1910,796
ACSSF,2016e1,dc,000,0001,0000012,2124,954
ACSSF,2016e1,dc,000,0001,0000013,2063,981
ACSSF,2016e1,dc,000,0001,0000014,2333,1214
ACSSF,2016e1,dc,000,0001,0000015,9990,4585
