ACSSF,2012m1,dc,000,0018,0000001,1655,3511,1849,903,1136,516,3408,3356,848,3505,1384,788,1264,428,2920,2711,1353,3352,2877,2967,1840,1587,2476,2375,925,4771,4213,3154,1188,1574,1386,1315,950,732,830,835,0,4771,4771,,,,1655,3585,3311,2060,3352,3551,2500,4771,4213,3154,1188,2979,1314
ACSSF,2012m1,dc,000,0018,0000002,1655,3511,1849,903,1136,516,3408,3356,848,3505,1384,788,1264,428,2920,2711,1353,3352,2877,2967,1840,1587,2476,2375,925,4771,4213,3154,1188,1574,1386,1315,950,732,830,835,0,4771,4771,,,,1655,3585,3311,2060,3352,3551,2500,4771,4213,3154,1188,2979,1314
ACSSF,2012m1,dc,000,0018,0000003,1655,3511,1849,903,1136,516,3408,3356,848,3505,1384,788,1264,428,2920,2711,1353,3352,2877,2967,1840,1587,2476,2375,925,4771,4213,3154,1188,1574,1386,1315,950,732,830,835,0,4771,4771,,,,1655,3585,3311,2060,3352,3551,2500,4771,4213,3154,1188,2979,1314
ACSSF,2012m1,dc,000,0018,0000004,1655,3511,1849,903,1136,516,3408,3356,848,3505,1384,788,1264,428,2920,2711,1353,3352,2877,2967,1840,1587,2476,2375,925,4771,4213,3154,1188,1574,1386,1315,950,732,830,835,0,4771,4771,,,,1655,3585,3311,2060,3352,3551,2500,4771,4213,3154,1188,2979,1314
ACSSF,2012m1,dc,000,0018,0000005,1655,3511,1849,903,1136,516,3408,3356,848,3505,1384,788,1264,428,2920,2711,1353,3352,2877,2967,1840,1587,2476,2375,925,4771,4213,3154,1188,1574,1386,1315,950,732,830,835,0,4771,4771,,,,1655,3585,3311,2060,3352,3551,2500,4771,4213,3154,1188,2979,1314
ACSSF,2012m1,dc,000,0018,0000006,1655,3511,1849,903,1136,516,3408,3356,848,3505,1384,788,1264,428,2920,2711,1353,3352,2877,2967,1840,1587,2476,2375,925,4771,4213,3154,1188,1574,1386,1315,950,732,830,835,0,4771,4771,,,,1655,3585,3311,2060,3352,3551,2500,4771,4213,3154,1188,2979,1314
ACSSF,2012m1,dc,000,0018,0000007,1655,3511,1849,903,1136,516,3408,3356,848,3505,1384,788,1264,428,2920,2711,1353,3352,2877,2967,1840,1587,2476,2375,925,4771,4213,3154,1188,1574,1386,1315,950,732,830,835,0,4771,4771,,,,1655,3585,3311,2060,3352,3551,2500,4771,4213,3154,1188,2979,1314
ACSSF,2012m1,dc,000,0018,0000008,1655,3511,1849,903,1136,516,3408,3356,848,3505,1384,788,1264,428,2920,2711,1353,3352,2877,2967,1840,1587,2476,2375,925,4771,4213,3154,1188,1574,1386,1315,950,732,830,835,0,4771,4771,,,,1655,3585,3311,2060,3352,3551,2500,4771,4213,3154,1188,2979,1314
ACSSF,2012m1,dc,000,0018,0000009,1655,3511,1849,903,1136,516,3408,3356,848,3505,1384,788,1264,428,2920,2711,1353,3352,2877,2967,1840,1587,2476,2375,925,4771,4213,3154,1188,1574,1386,1315,950,732,830,835,0,4771,4771,,,,1655,3585,3311,2060,3352,3551,2500,4771,4213,3154,1188,2979,1314
ACSSF,2012m1,dc,000,0018,0000010,,,,,,,,,,,,,,,,,,,,,,,,,,2492,2102,1453,353,804,576,527,482,281,598,596,5919,5511,2492,,,,1865,201,201,197,1850,1977,1478,2492,2102,1453,353,1199,874
ACSSF,2012m1,dc,000,0018,0000011,3267,1996,1223,485,1122,197,1719,1526,736,1524,1232,235,1208,197,1060,608,938,2221,2055,1293,1416,308,1372,1070,774,4124,2984,2407,951,1044,889,719,602,234,439,448,7634,5351,4124,,,,3267,2393,1491,1927,2221,1475,1582,4124,2984,2407,951,1890,681
ACSSF,2012m1,dc,000,0018,0000012,3209,1073,251,197,251,197,1008,1009,536,2089,425,197,197,425,2042,1714,1055,2667,1819,1698,857,574,1836,1797,164,2478,2086,1073,187,276,382,611,258,212,192,175,7931,7198,2478,,,,3209,2520,2005,1311,2667,2537,1018,2478,2086,1073,187,892,350
ACSSF,2012m1,dc,000,0018,0000013,3188,2886,775,732,275,197,2857,2857,197,1784,773,707,228,36,1637,1633,84,1920,1215,1195,437,194,1503,1452,550,2233,2107,719,51,365,197,198,225,183,304,85,7641,7321,2233,,,,3188,3060,3047,374,1920,1876,738,2233,2107,719,51,572,366
ACSSF,2012m1,dc,000,0018,0000014,2117,967,523,197,94,516,815,817,45,1469,604,265,535,197,1200,852,714,1454,1217,858,668,534,746,601,382,3396,2850,1677,682,490,661,664,466,552,344,456,7719,7084,3396,,,,2117,1713,1200,1163,1454,1057,924,3396,2850,1677,682,1386,952
ACSSF,2012m1,dc,000,0018,0000015,1655,3511,1849,903,1136,516,3408,3356,848,3505,1384,788,1264,428,2920,2711,1353,3352,2877,2967,1840,1587,2476,2375,925,4771,4213,3154,1188,1574,1386,1315,950,732,830,835,0,4771,4771,,,,1655,3585,3311,2060,3352,3551,2500,4771,4213,3154,1188,2979,1314
