ACSSF,2015e1,dc,000,0001,0000001,10492,4696
ACSSF,2015e1,dc,000,0001,0000002,10492,4696
ACSSF,2015e1,dc,000,0001,0000003,10492,4696
ACSSF,2015e1,dc,000,0001,0000004,10492,4696
ACSSF,2015e1,dc,000,0001,0000005,10492,4696
ACSSF,2015e1,dc,000,0001,0000006,10492,4696
ACSSF,2015e1,dc,000,0001,0000007,10492,4696
ACSSF,2015e1,dc,000,0001,0000008,10492,4696
ACSSF,2015e1,dc,000,0001,0000009,10492,4696
ACSSF,2015e1,dc,000,0001,0000010,1646,694
ACSSF,2015e1,dc,000,0001,0000011,1902,789
ACSSF,2015e1,dc,000,0001,0000012,2177,974
ACSSF,2015e1,dc,000,0001,0000013,2210,991
ACSSF,2015e1,dc,000,0001,0000014,2557,1248
ACSSF,2015e1,dc,000,0001,0000015,10492,4696
