ACSSF,2016m1,dc,000,0044,0000001,14185,10992,9415,4126,3338,2501,2014,593,692,9309,4493,699,7487,2615,106,837,439,2089,3578,1716,2600,14492,1983,2145,2982,2803,3878,5162,5223,4898,4798,5940,2614,1667,2480,3539,14492,1190,2129,2572,3390,5443,3557,5085,2849,4036,6182,6529,3999,14185,14134,7056,9815,7688,6760,9481,1107,5452,5567,4779,4133,669,2524,2546,2355,9255,5201,5744,4840,3367,4230,3091,3279,1806,1235,2448,1298,1681,1205,743,14185,10992,9415,4126,3338,2501,2321,9309,3578,2850,2600
ACSSF,2016m1,dc,000,0044,0000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2016m1,dc,000,0044,0000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2016m1,dc,000,0044,0000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2016m1,dc,000,0044,0000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2016m1,dc,000,0044,0000006,14185,10992,9415,4126,3338,2501,2014,593,692,9309,4493,699,7487,2615,106,837,439,2089,3578,1716,2600,14492,1983,2145,2982,2803,3878,5162,5223,4898,4798,5940,2614,1667,2480,3539,14492,1190,2129,2572,3390,5443,3557,5085,2849,4036,6182,6529,3999,14185,14134,7056,9815,7688,6760,9481,1107,5452,5567,4779,4133,669,2524,2546,2355,9255,5201,5744,4840,3367,4230,3091,3279,1806,1235,2448,1298,1681,1205,743,14185,10992,9415,4126,3338,2501,2321,9309,3578,2850,2600
ACSSF,2016m1,dc,000,0044,0000007,14185,10992,9415,4126,3338,2501,2014,593,692,9309,4493,699,7487,2615,106,837,439,2089,3578,1716,2600,14492,1983,2145,2982,2803,3878,5162,5223,4898,4798,5940,2614,1667,2480,3539,14492,1190,2129,2572,3390,5443,3557,5085,2849,4036,6182,6529,3999,14185,14134,7056,9815,7688,6760,9481,1107,5452,5567,4779,4133,669,2524,2546,2355,9255,5201,5744,4840,3367,4230,3091,3279,1806,1235,2448,1298,1681,1205,743,14185,10992,9415,4126,3338,2501,2321,9309,3578,2850,2600
ACSSF,2016m1,dc,000,0044,0000008,14185,10992,9415,4126,3338,2501,2014,593,692,9309,4493,699,7487,2615,106,837,439,2089,3578,1716,2600,14492,1983,2145,2982,2803,3878,5162,5223,4898,4798,5940,2614,1667,2480,3539,14492,1190,2129,2572,3390,5443,3557,5085,2849,4036,6182,6529,3999,14185,14134,7056,9815,7688,6760,9481,1107,5452,5567,4779,4133,669,2524,2546,2355,9255,5201,5744,4840,3367,4230,3091,3279,1806,1235,2448,1298,1681,1205,743,14185,10992,9415,4126,3338,2501,2321,9309,3578,2850,2600
ACSSF,2016m1,dc,000,0044,0000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2016m1,dc,000,0044,0000010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2016m1,dc,000,0044,0000011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2016m1,dc,000,0044,0000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2016m1,dc,000,0044,0000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2016m1,dc,000,0044,0000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2016m1,dc,000,0044,0000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
