ACSSF,2016e1,dc,000,0006,0000001,681170,606748,74422,14887,4658,2598,4112,31734,519,4163,4805,397,1005,20845,0,10816,1492,880,878,2944,679,273,2010,282,1148,230,5617,2885,188,0,2544,681170,606748,247185,315848,1529,25952,41,1929,14264,802,13462,74422,30083,4706,475,484,0,35203,3471,1325,2146,681170,606748,74422,681170,606748,74422,14887,4658,2598,4112,31734,10816,5617,681170,606748,247185,315848,1529,25952,41,1929,14264,802,13462,74422
ACSSF,2016e1,dc,000,0006,0000002,681170,606748,74422,14887,4658,2598,4112,31734,519,4163,4805,397,1005,20845,0,10816,1492,880,878,2944,679,273,2010,282,1148,230,5617,2885,188,0,2544,681170,606748,247185,315848,1529,25952,41,1929,14264,802,13462,74422,30083,4706,475,484,0,35203,3471,1325,2146,681170,606748,74422,681170,606748,74422,14887,4658,2598,4112,31734,10816,5617,681170,606748,247185,315848,1529,25952,41,1929,14264,802,13462,74422
ACSSF,2016e1,dc,000,0006,0000003,681170,606748,74422,14887,4658,2598,4112,31734,519,4163,4805,397,1005,20845,0,10816,1492,880,878,2944,679,273,2010,282,1148,230,5617,2885,188,0,2544,681170,606748,247185,315848,1529,25952,41,1929,14264,802,13462,74422,30083,4706,475,484,0,35203,3471,1325,2146,681170,606748,74422,681170,606748,74422,14887,4658,2598,4112,31734,10816,5617,681170,606748,247185,315848,1529,25952,41,1929,14264,802,13462,74422
ACSSF,2016e1,dc,000,0006,0000004,681170,606748,74422,14887,4658,2598,4112,31734,519,4163,4805,397,1005,20845,0,10816,1492,880,878,2944,679,273,2010,282,1148,230,5617,2885,188,0,2544,681170,606748,247185,315848,1529,25952,41,1929,14264,802,13462,74422,30083,4706,475,484,0,35203,3471,1325,2146,681170,606748,74422,681170,606748,74422,14887,4658,2598,4112,31734,10816,5617,681170,606748,247185,315848,1529,25952,41,1929,14264,802,13462,74422
ACSSF,2016e1,dc,000,0006,0000005,681170,606748,74422,14887,4658,2598,4112,31734,519,4163,4805,397,1005,20845,0,10816,1492,880,878,2944,679,273,2010,282,1148,230,5617,2885,188,0,2544,681170,606748,247185,315848,1529,25952,41,1929,14264,802,13462,74422,30083,4706,475,484,0,35203,3471,1325,2146,681170,606748,74422,681170,606748,74422,14887,4658,2598,4112,31734,10816,5617,681170,606748,247185,315848,1529,25952,41,1929,14264,802,13462,74422
ACSSF,2016e1,dc,000,0006,0000006,681170,606748,74422,14887,4658,2598,4112,31734,519,4163,4805,397,1005,20845,0,10816,1492,880,878,2944,679,273,2010,282,1148,230,5617,2885,188,0,2544,681170,606748,247185,315848,1529,25952,41,1929,14264,802,13462,74422,30083,4706,475,484,0,35203,3471,1325,2146,681170,606748,74422,681170,606748,74422,14887,4658,2598,4112,31734,10816,5617,681170,606748,247185,315848,1529,25952,41,1929,14264,802,13462,74422
ACSSF,2016e1,dc,000,0006,0000007,681170,606748,74422,14887,4658,2598,4112,31734,519,4163,4805,397,1005,20845,0,10816,1492,880,878,2944,679,273,2010,282,1148,230,5617,2885,188,0,2544,681170,606748,247185,315848,1529,25952,41,1929,14264,802,13462,74422,30083,4706,475,484,0,35203,3471,1325,2146,681170,606748,74422,681170,606748,74422,14887,4658,2598,4112,31734,10816,5617,681170,606748,247185,315848,1529,25952,41,1929,14264,802,13462,74422
ACSSF,2016e1,dc,000,0006,0000008,681170,606748,74422,14887,4658,2598,4112,31734,519,4163,4805,397,1005,20845,0,10816,1492,880,878,2944,679,273,2010,282,1148,230,5617,2885,188,0,2544,681170,606748,247185,315848,1529,25952,41,1929,14264,802,13462,74422,30083,4706,475,484,0,35203,3471,1325,2146,681170,606748,74422,681170,606748,74422,14887,4658,2598,4112,31734,10816,5617,681170,606748,247185,315848,1529,25952,41,1929,14264,802,13462,74422
ACSSF,2016e1,dc,000,0006,0000009,681170,606748,74422,14887,4658,2598,4112,31734,519,4163,4805,397,1005,20845,0,10816,1492,880,878,2944,679,273,2010,282,1148,230,5617,2885,188,0,2544,681170,606748,247185,315848,1529,25952,41,1929,14264,802,13462,74422,30083,4706,475,484,0,35203,3471,1325,2146,681170,606748,74422,681170,606748,74422,14887,4658,2598,4112,31734,10816,5617,681170,606748,247185,315848,1529,25952,41,1929,14264,802,13462,74422
ACSSF,2016e1,dc,000,0006,0000010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108073,96510,11563,108073,96510,11563,1884,815,671,0,2346,4163,1684,108073,96510,78527,6719,538,6358,0,269,4099,58,4041,11563
