State,County,stateName,countyName,data_2015,data_2014,data_2013,data_2012,data_2011,data_2010,,,,,,,
11,1,DC,DC,647484,633736,619371,605759,593955,584400,10.88317601,10.80795306,10.75421967,10.70618219,10.68716094,10.68408882,0.199087184
24,9,MD,Calvert County,90114,89793,89332,88774,88329,87891,1.514672985,1.531360896,1.551083199,1.568991327,1.589322825,1.606836501,-0.092163516
24,17,MD,Charles County,152754,150960,148957,147107,145508,143912,2.567551736,2.574524081,2.586359872,2.59996854,2.618156955,2.631020861,-0.063469125
24,21,MD,Frederick County,241373,239253,236668,234268,231725,229205,4.057096149,4.080303458,4.109297436,4.140451712,4.169478107,4.190360334,-0.133264185
24,31,MD,Montgomery County,1017859,1005087,989474,974824,959738,947230,17.10859056,17.14110152,17.18036647,17.22903555,17.26877367,17.31740154,-0.208810977
24,33,MD,Prince George's County,892816,884764,873481,865443,858539,854722,15.00681665,15.08907144,15.16636484,15.29583618,15.44787815,15.62615635,-0.619339696
51,510,VA,Alexandria,149315,146422,143684,140337,136968,133647,2.509747617,2.497131459,2.494804083,2.480315587,2.464494885,2.443354585,0.066393032
51,13,VA,Arlington County,223945,220173,214861,209077,202999,197467,3.764159194,3.754906535,3.730659643,3.695226077,3.652604968,3.610121437,0.154037756
51,43,VA,Clarke County,14299,14273,14191,14143,14081,14013,0.240343443,0.243416681,0.246400189,0.249963326,0.253362482,0.256187777,-0.015844334
51,47,VA,Culpeper County,48424,47910,47330,46894,46427,45749,0.813930406,0.81707372,0.82179698,0.828804372,0.835371065,0.836390109,-0.022459703
51,59,VA,Fairfax County,1128722,1117072,1101071,1083770,1064735,1048554,18.97202123,19.05093246,19.11803977,19.15454672,19.15800743,19.16982217,-0.19780094
51,600,VA,Fairfax,23402,23507,23027,22712,22277,22058,0.393350392,0.400896513,0.399820812,0.401411799,0.400834885,0.403267678,-0.009917287
51,610,VA,Falls Church,13308,13074,12731,12300,11840,11465,0.223686309,0.22296852,0.221050018,0.217390152,0.213039684,0.209604857,0.014081452
51,61,VA,Fauquier County,67463,66726,66015,65495,65008,64546,1.133945709,1.137968295,1.146227078,1.157558373,1.169703022,1.180039694,-0.046093986
51,630,VA,Fredericksburg,27395,26632,25931,24932,24015,23375,0.460466369,0.454191344,0.450243344,0.44064807,0.432107096,0.427345271,0.033121099
51,107,VA,Loudoun County,351129,338916,326477,314980,303329,291653,5.901919907,5.77999075,5.668662848,5.566955283,5.457864385,5.332044076,0.569875831
51,683,VA,Manassas,40743,40436,39317,37943,36811,36067,0.684825015,0.689609537,0.682666213,0.670604433,0.662348295,0.659382327,0.025442689
51,685,VA,Manassas Park,15625,14992,15125,14409,13759,13195,0.262631393,0.255678756,0.262617353,0.254664609,0.247568667,0.241232977,0.021398416
51,153,VA,Prince William County,437271,428772,416668,404011,391439,379415,7.34982989,7.312426069,7.234660976,7.140488827,7.043246696,6.936522179,0.413307711
51,157,VA,Rappahannock County,7431,7446,7448,7440,7422,7376,0.124903289,0.126986661,0.129320598,0.131494531,0.133545653,0.134849143,-0.009945854
51,177,VA,Spotsylvania County,127691,126200,124319,122854,121508,120212,2.146282577,2.152258473,2.158567056,2.171321114,2.186319757,2.197733891,-0.051451314
51,179,VA,Stafford County,137145,134672,131885,129446,127041,124587,2.305189277,2.296742893,2.289936503,2.287828096,2.285876225,2.2777183,0.027470977
51,187,VA,Warren County,38481,38142,37836,37567,37323,37044,0.646804394,0.650486867,0.656951416,0.66395901,0.671560822,0.677243988,-0.030439594
54,37,WV,Jefferson County,55214,54650,54131,53545,52874,52033,0.928059504,0.932020012,0.939883632,0.94635412,0.951373332,0.951275143,-0.023215639
,,,,5949403,5863608,5759330,5658030,5557650,5469816,100,100,100,100,100,100,
