cbsa10,FIPS state,placefp14,county,2010 Tract,State Postal Code,cntyname,placefp,placenm,Place Name 2014,2010 CBSA Name,"Total Pop, 2010 census",cbsa10 to tract alloc factor
12060,13,4000,13121,68.02,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",1958,0
12060,13,4000,13121,69,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",3166,0.001
12060,13,4000,13121,70.01,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",3943,0.001
12060,13,4000,13121,70.02,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",2975,0.001
12060,13,4000,13121,71,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",2145,0
12060,13,4000,13121,72,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",1706,0
12060,13,4000,13121,73,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",6683,0.001
12060,13,4000,13121,74,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",3326,0.001
12060,13,4000,13121,75,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",3511,0.001
12060,13,4000,13121,76.02,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",2418,0
12060,13,4000,13121,76.03,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",4296,0.001
12060,13,4000,13121,76.04,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",2730,0.001
12060,13,4000,13121,77.03,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",3621,0.001
