msaCode,stateCode,countyCode
47900,11,001
47900,24,009
47900,24,017
47900,24,021
47900,24,031
47900,24,033
47900,51,510
47900,51,013
47900,51,043
47900,51,047
47900,51,059
47900,51,600
47900,51,610
47900,51,061
47900,51,630
47900,51,107
47900,51,683
47900,51,685
47900,51,153
47900,51,157
47900,51,177
47900,51,179
47900,51,187
47900,54,037
