,2010_Id2,2010_Married-couple families; Estimate; Median income (dollars),2011_Married-couple families; Estimate; Median income (dollars),2012_Married-couple families; Estimate; Median income (dollars),2013_Married-couple families; Estimate; Median income (dollars),2014_Married-couple families; Estimate; Median income (dollars),2015_Married-couple families; Estimate; Median income (dollars),2016_Married-couple families; Estimate; Median income (dollars)
92,11001007304,113125,78214,99750,80893,74375,(X),64265
93,11001007401,41490,44261,43250,23077,13281,(X),-
94,11001007403,19531,86316,47417,51250,58750,58712,49735
95,11001007404,70150,73000,25972,51563,65417,(X),-
96,11001007406,52019,54750,58750,60179,49103,(X),52092
97,11001007407,114250,135050,82639,78750,76932,(X),75982
98,11001007408,19625,21118,21250,27054,27083,(X),38276
99,11001007409,45667,26474,26211,27260,33024,(X),-
100,11001007502,63438,95278,97813,60357,68438,(X),71944
101,11001007503,53750,57308,69519,71563,83000,82813,103636
102,11001007504,56184,77679,77944,59792,59773,(X),-
103,11001007601,72240,74353,95265,95347,97841,(X),87679
104,11001007603,125313,101288,140160,124545,95625,(X),-
105,11001007604,76083,98125,102619,91800,95000,99583,105357
106,11001007605,52424,54318,54489,55556,59665,(X),78583
107,11001007703,85956,120917,147750,96731,97188,(X),-
108,11001007707,64798,65234,69857,60804,61500,65938,68846
109,11001007708,53558,41000,39333,41122,41042,(X),-
110,11001007709,94000,107604,104167,109167,98125,(X),70357
111,11001007803,81625,73409,76125,89583,53472,(X),92857
112,11001007804,106523,118603,121638,86750,108750,(X),84522
113,11001007806,66758,68785,70272,48988,49345,(X),81964
114,11001007807,36875,35000,46681,45833,47917,(X),49964
115,11001007808,51818,70956,116667,107614,81364,(X),79091
116,11001007809,48929,60556,47000,63938,63313,64219,66429
117,11001007901,158750,104813,103897,105234,143153,(X),121042
118,11001007903,51226,53952,55417,57045,69750,(X),104479
119,11001008001,124286,165000,171042,174137,192244,181653,182539
120,11001008002,186250,192734,183333,151667,156845,(X),158594
121,11001008100,201129,222750,214770,215726,217581,207177,222596
122,11001008200,231650,237670,233333,226000,206406,203083,191500
123,11001008301,181875,191776,186705,181488,184899,191964,182250
124,11001008302,164271,163500,150000,180417,179063,(X),195000
125,11001008402,124049,113264,113333,115278,142604,(X),169091
126,11001008410,107188,116953,102011,107596,129375,(X),176667
127,11001008701,84792,101146,143750,143750,155089,153750,156750
128,11001008702,55125,58875,85833,87115,133750,(X),137500
129,11001008802,53750,88418,90288,91960,105972,(X),129375
130,11001008803,67177,91579,94028,93250,36058,(X),-
131,11001008804,25833,120074,67455,65057,65662,(X),64625
