,NAME,metropolitan statistical area/micropolitan statistical area,Total population,White alone,Highschool,GED,"Some college, fewer than 1 years","Some college, 1 ore more years",associates,college grad,Professional degree,Masters,post grad,Place of work total,Work in state,Work in county,Work Out state,Work out county,Income in the past 12 months below poverty,Under 10k,"10 to 14,999","15 to 19,999",20 to 24,25 to 30,"30 to 34,999",35 to 39,40 to 44,44 to 49,50 to 59,60 to 74,75 to 99,100 to 124,125 to 149,150 to 199,200 +,Median HH income,M HH income white,Median HH income black,Median HH income hispanic
0,"Aberdeen, SD Micro Area",42078,10100,38924,8101,1230,1573,4104,2999,5692,260,1500,349,22652,22454,21131,198,1323,4092,961,837,903,1065,825,925,923,741,860,1635,1993,2661,1395,845,364,649,53289,53619,,41964
1,"Aberdeen, WA Micro Area",71419,10140,62414,12907,3355,5477,9458,5862,4994,284,1796,395,25696,25544,21346,152,4198,12357,2548,1792,1370,1689,1553,2022,1538,1536,1340,2176,3020,2812,2210,655,565,393,43538,43743,,34025
2,"Abilene, TX Metro Area",167945,10180,136361,24226,8821,8098,18358,7005,15773,1116,5037,871,72827,72527,63734,300,8793,27228,4969,3991,3817,3616,3559,3838,3162,3293,2606,5521,6059,6517,3879,1961,1839,1611,44799,46585,32936,38460
3,"Ada, OK Micro Area",38055,10220,27048,6893,1260,1319,4209,1131,4063,252,1970,304,17147,17022,15654,125,1368,6769,1260,851,1050,1056,967,829,670,897,619,1299,1458,1885,885,343,331,191,43261,45748,31639,29279
4,"Adjuntas, PR Micro Area",18962,10260,17862,3169,156,88,1607,615,1768,59,256,65,4073,4073,2085,0,1988,11645,3087,770,486,318,276,270,266,118,147,231,138,86,59,22,20,28,10499,10536,13571,10566
5,"Adrian, MI Micro Area",98902,10300,91364,21187,3506,5992,10868,5923,8583,518,3543,310,42059,39169,25802,2890,13367,13427,2226,2207,2313,2225,2434,2148,2393,1877,1895,3512,4309,4915,2632,1510,869,499,48043,48743,32452,31194
6,"Aguadilla-Isabela, PR Metro Area",325921,10380,237274,51871,7049,2344,22524,18343,33729,1145,7723,1319,77837,77699,43010,138,34689,172318,37891,15609,12029,8945,6985,6065,4643,3935,2988,4408,3276,2055,826,335,247,195,15616,15373,17202,15502
7,"Akron, OH Metro Area",703744,10420,580792,143815,15826,31274,64985,38006,89205,8283,36399,6460,332619,330451,221743,2168,108708,102877,22578,15305,15353,15002,14896,14765,13646,14052,12135,23771,29006,34339,22149,12946,11608,10406,51160,55103,27629,44278
8,"Alamogordo, NM Micro Area",65318,10460,49613,9799,2631,3459,8212,3941,3790,217,2589,302,23985,22653,21541,1332,1112,14387,2155,2002,2079,1677,1352,1147,1488,1204,1168,1883,2454,2779,989,598,402,291,39775,42728,36168,25018
9,"Albany, GA Metro Area",155917,10500,68371,25954,5261,6442,17832,7198,10426,1410,4943,814,59147,58603,36286,544,22317,39387,8703,4209,3618,3972,3801,3105,3166,2953,2242,4445,4980,5263,3127,1630,1647,1136,37404,53144,26504,35805
10,"Albany, OR Metro Area",118971,10540,110239,20277,4826,8191,16727,8449,9734,469,3278,533,48021,47711,32608,310,15103,22201,3518,2893,2943,2802,2917,2291,2424,2496,2031,4458,5142,5843,2523,1339,928,552,45644,45963,,30333
11,"Albany-Schenectady-Troy, NY Metro Area",877846,10580,738444,143453,23072,34824,70302,72052,114546,12978,68876,11277,430433,425101,264644,5332,160457,96082,18787,15975,15044,15786,14716,14999,14495,15116,13425,27859,37434,48076,35181,21761,21727,15607,62283,65411,30954,38266
12,"Albemarle, NC Micro Area",60586,10620,51433,12002,2294,3293,6060,4073,4729,255,1551,224,25600,25364,16849,236,8515,10356,1871,1811,1671,1963,1384,1520,1347,1069,1147,2056,2401,2702,1291,763,417,254,40910,43011,23048,26864
13,"Albert Lea, MN Micro Area",30897,10660,29391,7116,929,1767,3511,2665,2526,220,705,76,14958,14135,11127,823,3008,3679,719,702,871,751,893,709,784,729,682,1253,1447,1537,847,464,331,274,47105,47795,18646,31250
14,"Albertville, AL Micro Area",94318,10700,86785,15846,4258,4173,9083,5003,6767,580,2865,266,37253,36767,27510,486,9257,18794,2744,2866,2602,2882,2503,2056,1916,1906,1307,2492,3023,3381,1845,1010,854,874,38983,39540,25688,24069
15,"Albuquerque, NM Metro Area",902731,10740,650967,125226,25479,36995,109898,48420,102315,11981,56440,12634,395799,392762,327281,3037,65481,170659,30632,19744,20848,20522,18176,19182,16087,16102,14549,27556,33929,39597,25785,14529,14698,11498,48495,51912,37146,40253
16,10760,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,"Alexandria, LA Metro Area",154587,10780,102574,30788,7852,6096,17128,5436,10960,1155,4374,761,58423,56832,48212,1591,8620,30105,5544,3948,4529,3340,3297,3548,2839,3006,2164,4346,4695,5607,3532,1921,1412,1143,40591,47374,26085,45275
18,"Alexandria, MN Micro Area",36620,10820,35786,7281,489,1786,4134,4324,4626,414,1203,171,18694,18468,16051,226,2417,3438,970,680,692,929,706,675,865,872,697,1408,1929,2080,1330,683,526,517,54531,54764,,
19,"Alice, TX Micro Area",41461,10860,38922,7461,1295,1333,4007,1347,1879,121,753,65,16452,16409,12155,43,4254,9128,1619,829,1114,983,590,645,635,717,281,1195,1324,1187,1069,677,600,364,42986,44526,58472,40919
20,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",828232,10900,699706,179674,20765,33976,67132,50299,96774,8389,43395,6344,389067,355928,226968,33139,128960,88085,15836,14444,15199,15206,15030,14738,13957,14515,14366,27091,33582,43220,28235,17636,17195,14055,58699,60538,38899,37687
21,"Alma, MI Micro Area",41878,10940,38150,9374,2271,2471,4698,2402,2431,156,1168,232,15653,15577,10374,76,5203,6792,1269,984,1164,923,905,919,875,776,762,1274,1570,1504,857,448,257,229,41912,42343,,30365
22,"Alpena, MI Micro Area",29068,10980,28118,6161,922,1900,3759,2772,2142,262,1001,102,12080,12024,10861,56,1163,4898,1098,1005,1010,966,762,833,850,746,792,946,1201,1247,720,306,97,143,38829,38966,29375,
23,"Altoona, PA Metro Area",126448,11020,121304,38629,4161,4659,8242,7394,11678,850,4216,633,56245,55754,48673,491,7081,18548,4015,3456,3398,3415,3282,2866,3003,2514,2218,4446,5539,6106,3132,1298,1164,1182,43981,44283,30833,51420
24,"Altus, OK Micro Area",26056,11060,18902,3590,912,1250,2884,1722,2114,150,843,147,11274,11081,10184,193,897,4276,971,638,705,733,633,636,595,519,556,736,1117,959,671,275,327,149,41560,44890,30684,33347
25,"Amarillo, TX Metro Area",259216,11100,220296,31369,9913,14084,32559,13839,25842,1822,9105,1276,121456,120415,68900,1041,51515,39321,6559,5497,5702,5813,4982,5813,4337,4820,3899,8269,9409,11443,7940,4466,3967,2728,50383,51943,27565,38976
26,"Americus, GA Micro Area",36503,11140,17118,5950,1308,1134,3267,1627,2115,444,1298,343,12951,12881,8924,70,3957,10928,2118,1106,1055,1097,747,693,808,495,595,950,1141,966,837,304,206,164,33798,46641,22340,22284
27,"Ames, IA Metro Area",93586,11180,82374,8147,879,2554,6751,4559,13110,979,5886,3253,49185,48538,40120,647,8418,19109,3967,2086,2013,1926,1699,1499,1569,1483,1544,2686,3861,4504,2776,1647,1417,1224,50438,52279,,31179
28,"Amsterdam, NY Micro Area",49779,11220,44234,10818,1743,2107,4047,4659,3472,340,1593,131,20913,20827,11808,86,9019,10053,1651,1496,1416,1421,1075,889,969,1067,936,1490,2086,2240,1201,685,588,329,43764,45668,37534,24149
29,"Anchorage, AK Metro Area",395285,11260,275069,52731,12152,18776,51524,21405,47934,5429,19290,2775,197096,196201,176047,895,20154,33368,4413,3963,4344,4626,4132,4680,5068,6103,4695,9474,14760,20202,16659,10901,12407,9846,76917,83005,50568,56692
30,"Andrews, TX Micro Area",16775,11380,15490,2687,665,548,1699,665,880,16,216,54,7838,7600,6273,238,1327,2032,216,222,269,229,211,360,176,189,193,292,535,822,681,372,364,345,70423,71077,36689,68617
31,"Angola, IN Micro Area",34267,11420,33345,7786,1037,1816,3322,2141,3172,158,1107,185,16034,14951,10362,1083,4589,3542,604,557,822,850,795,898,814,843,749,1393,1552,1660,749,562,341,296,48472,48554,,46130
32,"Ann Arbor, MI Metro Area",354092,11460,262252,29217,5345,11996,30084,15224,55723,9636,38030,12220,172298,170077,134205,2221,35872,51965,10705,5462,5897,6338,6029,6652,5688,6233,5292,9705,12308,16303,13162,8524,9770,9999,61003,66530,35301,43274
33,"Anniston-Oxford-Jacksonville, AL Metro Area",116648,11500,87615,20133,4929,5894,13371,5534,8437,787,3945,649,46367,45098,36657,1269,8441,23325,4680,3441,2863,3064,2746,2703,1991,2816,1890,4354,4403,4379,2738,1498,985,603,41703,46399,26071,30575
34,"Appleton, WI Metro Area",230108,11540,210358,48558,3884,9696,20459,18170,30626,1903,9279,1036,121535,120983,71313,552,49670,19157,3357,3502,3873,4326,3964,4293,4116,4143,4254,8040,10895,14343,8942,4993,3476,2571,60809,61548,40288,37386
35,"Arcadia, FL Micro Area",34957,11580,28693,7910,1887,1493,2210,1138,1640,149,476,61,12129,12002,9247,127,2755,10123,1202,662,1204,1129,672,720,802,656,455,1236,904,665,471,192,158,110,35165,36579,22205,28697
36,"Ardmore, OK Micro Area",48442,11620,36166,11148,1575,2057,4891,1853,4018,355,1409,244,20476,20081,18466,395,1615,7262,1468,1038,1220,1325,1178,1097,941,740,879,1511,1921,1961,1211,553,418,406,44531,46229,28368,38393
37,"Arecibo, PR Metro Area",193243,11640,165765,32491,2717,1765,14510,12851,21593,710,4949,1089,49762,49710,24583,52,25127,94173,21464,9144,7717,5765,4199,3653,2794,2343,1872,2699,2807,1756,765,192,282,149,17047,17305,13926,17032
38,"Arkadelphia, AR Micro Area",22751,11660,16685,3706,720,855,2071,947,1861,148,874,265,9608,9523,6867,85,2656,4716,1304,651,670,579,565,568,552,395,240,782,630,842,415,185,150,153,35031,39805,22136,35278
39,"Arkansas City-Winfield, KS Micro Area",36079,11680,31648,5592,1551,2543,4251,2707,2984,231,1237,49,15515,14587,12506,928,2081,5971,1095,893,698,988,931,693,871,831,629,1181,1440,1398,952,462,398,228,43860,43915,45347,38750
40,"Asheville, NC Metro Area",437252,11700,396069,67556,14809,19245,49655,28891,62593,6213,27334,4385,192697,189084,153656,3613,35428,66912,12975,12766,12121,10612,11827,11062,10215,10216,8541,15851,18066,19533,12425,5885,5663,4742,44704,45871,25443,27157
41,"Ashland, OH Micro Area",53189,11740,51560,13541,1501,2326,3665,2658,4604,219,1885,461,23483,23338,14226,145,9112,7569,1220,1027,1056,1458,1223,1284,1130,1157,1133,2089,2498,2614,1298,566,405,269,48003,48293,,49722
42,"Ashtabula, OH Micro Area",99777,11780,93048,26918,4064,4892,9008,4935,6164,441,2364,221,39744,38450,27895,1294,10555,19266,3523,3308,2797,2520,2476,2647,1951,2041,1735,3567,4077,3915,2004,1356,696,277,40544,41424,25797,30833
43,"Astoria, OR Micro Area",37382,11820,33870,6007,1057,3137,5438,2522,3927,252,1936,226,16843,16378,15783,465,595,5791,804,919,1084,1175,1006,939,926,814,744,1288,1475,2046,1132,568,497,309,46408,47513,,36473
44,"Atchison, KS Micro Area",16633,11860,15065,3544,616,829,1588,824,1285,58,504,170,7344,6586,5590,758,996,2970,450,401,590,356,344,219,338,415,276,688,550,611,365,278,94,58,43581,44353,22375,
45,"Athens, OH Micro Area",64974,11900,59154,10291,1127,2074,4498,3452,4908,424,3630,1348,25952,24944,21202,1008,3742,18263,4233,2011,1470,1373,1194,1296,984,1050,888,1747,1657,2016,1094,778,371,324,33872,34650,,
46,"Athens, TN Micro Area",52506,11940,48608,12652,2954,2176,4172,2755,3565,366,1291,252,20365,20055,13924,310,6131,10220,2348,1625,1479,1527,1259,969,1000,1132,992,1866,1847,1724,1144,484,405,177,38535,38736,25694,19670
47,"Athens, TX Micro Area",79016,11980,70570,15113,3719,4072,9087,3987,6331,280,2366,89,29835,29510,17500,325,12010,14572,2416,1927,2034,2247,1940,1985,1659,1830,1268,2691,2685,3021,1758,927,714,678,41607,42358,31667,31171
48,"Athens-Clarke County, GA Metro Area",198225,12020,144297,25139,5236,6299,16073,7140,20780,2923,12484,4704,86551,85818,51003,733,34815,50160,10008,4742,4690,4367,4192,3959,3305,3404,2690,5081,5942,7061,4346,2607,2169,2410,40308,45606,25154,29830
49,"Atlanta-Sandy Springs-Roswell, GA Metro Area",5535837,12060,3086318,750832,133092,191581,550646,255706,824975,81648,333344,49660,2542630,2505820,1345842,36810,1159978,847748,131642,86285,88845,97470,92027,99311,90517,96155,81591,159182,202848,240656,167625,103478,110899,115785,57000,67202,43433,40512
50,"Atlantic City-Hammonton, NJ Metro Area",275376,12100,184901,55225,6391,11488,25629,12760,31830,3141,10732,1368,124851,120593,101877,4258,18716,40868,7162,4883,5917,4988,5117,5496,4217,4969,4294,8347,10130,12071,8545,5535,5442,4705,54461,60848,33060,41392
51,12120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
52,"Auburn, IN Micro Area",42449,12140,41135,9818,1588,2199,3818,2556,3220,156,1378,40,19209,18856,11898,353,6958,6107,784,802,1014,1118,1144,969,900,872,758,1636,1965,2087,963,566,347,322,48341,48097,,34777
53,"Auburn, NY Micro Area",79173,12180,73064,15341,3593,3859,6695,7384,6975,698,3862,349,36043,35816,22604,227,13212,9010,1776,1632,1781,1881,1599,1577,1534,1603,1465,2931,3543,3895,2559,1465,1106,625,52082,52488,50000,41250
54,"Auburn-Opelika, AL Metro Area",150982,12220,105518,18163,4226,5575,13414,6596,17110,1679,8243,2893,67963,54333,45450,13630,8883,34561,7709,3811,3235,3392,2681,2775,2648,2501,2464,4291,4929,6511,4194,2184,2216,1630,44570,50270,29991,40330
55,"Augusta-Richmond County, GA-SC Metro Area",580178,12260,339550,96544,20276,23976,60739,32182,58234,6785,23810,4961,241189,211312,144935,29877,66377,108490,20038,12918,13251,12418,11665,10679,10594,10587,8350,16398,20115,24719,15629,8650,8006,5655,46518,56123,32219,40872
56,"Augusta-Waterville, ME Micro Area",121112,12300,116275,25546,5273,6111,11900,8607,13245,1359,5942,1102,56542,55986,45040,556,10946,16256,3582,3320,2989,3151,3136,3475,2594,2558,2167,4253,5599,6274,3740,2038,1415,1152,46917,47161,,36250
57,"Austin, MN Micro Area",39227,12380,36174,7600,861,2110,4122,3221,3571,283,925,163,18706,18370,14320,336,4050,5410,911,1089,1096,903,704,819,895,734,661,1137,1644,2327,1155,518,437,395,49427,50400,34784,37673
58,"Austin-Round Rock, TX Metro Area",1889094,12420,1482722,195407,41689,70345,189921,79471,333657,29017,126888,22363,954212,948237,713068,5975,235169,261850,40679,25348,26618,31388,28216,30792,31194,30959,28307,52756,71147,91596,66098,40919,44037,49224,63437,66291,45089,45858
59,"Bainbridge, GA Micro Area",27378,12460,14531,4920,1358,1023,2951,1257,1666,130,854,198,9819,8346,7046,1473,1300,7418,1994,856,814,910,600,569,464,604,547,751,694,840,351,173,195,252,31284,38125,22021,50427
60,"Bakersfield, CA Metro Area",865736,12540,646683,120205,19726,34132,86986,36852,52776,5179,18062,3038,319796,318565,301472,1231,17093,195744,17888,17149,15966,16783,15167,13796,13452,11632,9722,19817,26319,30477,19903,10905,12329,8395,49026,50315,32429,39686
61,"Baltimore-Columbia-Towson, MD Metro Area",2769818,12580,1705650,430625,65029,117078,254106,123904,395424,51746,217274,38391,1359092,1288580,720172,70512,568408,297097,61686,39317,37854,38580,38818,40197,35870,39146,36100,76314,99873,136649,106259,76564,87798,85287,70936,82842,48119,60696
62,"Bangor, ME Metro Area",153437,12620,146073,31368,5687,6234,15475,11542,16565,1389,6313,1663,70797,70319,63909,478,6410,24933,5251,4252,4171,4142,3985,3775,2872,2919,2819,5507,6193,7072,4058,2140,1460,1357,44271,44456,30938,51875
63,"Baraboo, WI Micro Area",62992,12660,60001,14297,1716,3295,6101,4253,6669,413,2307,296,32086,31876,24800,210,7076,7656,1313,1273,1435,1453,1556,1540,1172,1297,1348,2380,2924,3695,1697,978,754,516,51055,51580,16728,45965
64,"Bardstown, KY Micro Area",44564,12680,40851,10275,2127,2370,3518,2662,2871,341,1453,121,19749,19512,12539,237,6973,7072,1075,1047,1016,767,1115,954,833,978,738,1467,2109,2131,1248,671,286,382,49298,50470,28939,11462
65,"Barnstable Town, MA Metro Area",214766,12700,199244,37021,3949,11271,23064,15189,37906,4324,20235,3432,100624,98796,86209,1828,12587,18392,4232,4565,4367,5128,3735,4171,3479,4475,3558,6908,10436,13039,8962,6413,5783,5166,63251,64278,46864,60436
66,"Barre, VT Micro Area",59132,12740,56808,10947,1294,2236,4597,3591,9739,1117,5119,773,30961,30369,25018,592,5351,5729,1329,1340,1115,1182,967,1146,1012,1280,960,2130,2767,3725,2367,1272,1123,797,58788,58636,85074,44716
67,"Bartlesville, OK Micro Area",51760,12780,40587,10239,1670,2128,5556,2693,6528,206,2207,542,22669,22140,18594,529,3546,7307,1241,1279,1226,1329,1225,1372,1131,922,770,1816,2153,2308,1839,753,744,893,50023,51193,26719,40602
68,"Bastrop, LA Micro Area",27012,12820,13616,6529,1326,1029,2253,847,1683,185,377,53,9708,8930,5683,778,3247,7432,1750,1028,1071,875,676,764,449,376,489,751,579,741,549,63,124,162,28003,37849,20261,10733
69,"Batavia, NY Micro Area",59458,12860,54819,13286,2165,2564,5377,5975,4985,327,2776,219,29146,29083,18049,63,11034,7748,1400,1439,1282,1247,1349,1292,1281,1437,1009,1968,2957,3146,2168,937,685,341,50880,52032,14661,31962
70,"Batesville, AR Micro Area",36952,12900,34885,7920,1777,1892,3649,1494,2601,222,923,212,14900,14581,12752,319,1829,7783,1254,1383,1052,850,1005,1288,985,725,437,1201,1331,1331,571,346,203,276,36265,36948,21810,30238
71,"Baton Rouge, LA Metro Area",819861,12940,492179,146050,22976,27969,86638,29237,95358,7947,32540,6717,373807,370134,253104,3673,117030,140514,26488,17233,17377,14888,14530,14415,13015,13724,12163,21951,28454,37596,26775,15804,14751,11749,52427,65376,34914,50556
72,"Battle Creek, MI Metro Area",134790,12980,111511,27374,5027,8211,14504,8402,12341,769,4617,535,55575,55247,44776,328,10471,22931,4216,3348,3464,3885,3948,2911,3101,2793,2357,4249,5404,5706,3331,1721,1397,1019,42520,45354,25172,35309
73,"Bay City, MI Metro Area",106698,13020,100823,23848,2872,6468,11668,8447,9405,654,3249,418,45297,45038,26753,259,18285,15804,3460,2929,2503,2685,2914,2590,2220,2241,2034,3905,4671,5289,2551,1582,1217,774,45583,46205,28316,33507
74,"Bay City, TX Micro Area",36598,13060,29429,6726,1723,1358,3422,1563,2803,140,617,85,15450,15404,11285,46,4119,7833,1580,1033,844,718,969,993,466,530,619,999,1043,1155,1263,541,438,191,40797,43383,30317,32438
75,"Beatrice, NE Micro Area",21818,13100,21090,4639,708,1254,2237,1927,2186,151,580,125,10947,10564,8068,383,2496,2080,546,564,597,545,513,583,495,436,340,928,991,1278,696,295,260,173,50010,49569,,
76,"Beaumont-Port Arthur, TX Metro Area",405695,13140,281109,81601,15085,18057,48776,19347,31909,1803,10003,1347,165099,161966,123180,3133,38786,68268,13764,10145,9225,9383,8208,8537,7731,7333,6581,12345,14485,16108,10990,6208,5713,4417,45861,52629,30078,43115
77,"Beaver Dam, WI Micro Area",88547,13180,83078,22330,3009,4797,8989,6114,7257,512,2334,262,42698,42498,23948,200,18550,7658,1487,1620,1768,1653,1605,1966,1715,1847,1610,3246,4190,5124,2826,1335,744,586,53783,53898,60968,43393
78,"Beckley, WV Metro Area",124027,13220,111829,29219,7392,4416,11472,5630,9483,761,3718,337,44100,43169,32451,931,10718,22005,4340,3888,3971,3686,3149,3145,2902,2769,2107,3965,4449,4791,2634,1549,875,723,38967,39720,24975,28382
79,"Bedford, IN Micro Area",45814,13260,44305,11573,2170,2052,4302,3443,2894,202,1172,142,20493,20337,12789,156,7548,5850,1252,1069,1070,1207,1208,1216,937,1098,928,1703,2164,2361,1222,439,322,298,45875,46347,,27054
80,"Beeville, TX Micro Area",32659,13300,26848,4621,2688,1306,3713,1572,1383,82,550,119,10287,10230,7972,57,2258,5274,843,776,404,447,386,874,360,489,558,735,1025,785,318,231,220,311,42302,43706,33924,36743
81,"Bellefontaine, OH Micro Area",45484,13340,43267,13818,1464,1671,3353,2205,3169,217,1321,151,20075,19967,13210,108,6757,6487,1382,1030,904,1002,1128,1042,796,1016,1069,1668,2290,2298,1339,795,521,360,49783,50065,45465,
82,"Bellingham, WA Metro Area",207100,13380,177009,25668,5285,10770,22823,14402,28685,2574,10077,2354,96906,95488,88867,1418,6621,32328,6596,3933,4344,4144,3894,4552,3654,3366,2858,6728,9115,10405,6816,3724,3411,2227,53145,54744,24464,40514
83,"Bemidji, MN Micro Area",45434,13420,33662,5591,1554,2056,4760,3548,4777,357,1570,577,20208,19891,17021,317,2870,8118,1232,1266,1030,1072,931,946,834,1106,719,1402,1760,2116,1051,593,351,330,44757,48882,,17813
84,"Bend-Redmond, OR Metro Area",166622,13460,155421,22770,4292,10992,22974,11086,24494,2754,10157,1138,72800,71634,68410,1166,3224,24220,4645,2824,3583,4245,3713,3542,3588,3583,2771,4698,7566,8451,5317,3022,2218,2571,51223,51897,19416,37656
85,"Bennettsville, SC Micro Area",27993,13500,11561,6791,1365,827,2714,1321,1101,53,506,21,9424,7582,5150,1842,2432,7224,1523,1061,838,784,688,639,625,409,406,750,736,855,310,122,96,108,30767,36947,26417,28689
86,"Bennington, VT Micro Area",36589,13540,35254,6898,1104,1677,3197,2056,5607,570,2285,280,17453,15279,14512,2174,767,4735,857,895,778,1069,825,963,930,756,819,1336,1692,1855,1067,559,704,531,49573,49907,55613,131852
87,"Berlin, NH-VT Micro Area",38077,13620,36451,9586,1849,1925,3563,3003,3329,251,1311,152,16810,15159,12593,1651,2566,5186,1096,1607,1208,1189,989,1170,988,761,792,1467,1882,1911,860,366,283,330,41214,41364,,23073
88,"Big Rapids, MI Micro Area",43301,13660,40277,7904,1210,2403,3632,2494,3603,196,1815,395,17147,17035,11818,112,5217,9338,1480,1181,1057,881,1003,730,1058,859,793,1346,1511,1766,855,404,374,180,41889,42455,,23162
89,"Big Spring, TX Micro Area",37285,13700,31254,5042,2738,2692,3805,1949,2424,167,640,71,14138,14101,12103,37,1998,4827,971,708,585,562,567,812,561,610,426,1021,1351,1502,659,477,449,376,50091,51557,28917,38599
90,"Big Stone Gap, VA Micro Area",60000,13720,56278,10496,3082,2742,6165,3166,3621,321,1471,263,19862,18848,13520,1014,5328,12588,2792,2118,1920,1888,1326,1464,1201,1158,827,1780,2352,2067,1187,464,390,308,35556,35896,,38625
91,"Billings, MT Metro Area",164716,13740,150018,29447,5530,8244,20662,8362,22583,2097,6249,1142,83087,81653,77703,1434,3950,18588,3584,3938,3467,3852,3154,3475,3513,3480,2856,5707,7175,8646,5105,3111,2597,2582,52431,53755,27996,32116
92,"Binghamton, NY Metro Area",248292,13780,220746,45550,9369,11459,19072,20178,24766,2395,15149,1967,110323,106379,86074,3944,20305,38416,7832,6056,6441,5996,5094,5445,4752,4786,4222,7852,10729,11195,7734,4548,3661,2661,48540,50528,22821,26921
93,"Birmingham-Hoover, AL Metro Area",1138476,13820,757389,180767,35363,44668,131772,60063,135827,18234,54160,9772,495788,490230,352108,5558,138122,187065,37540,26168,25332,25869,25121,23367,20894,20754,16327,34441,43446,51700,33575,18479,18500,16611,49260,57318,33346,35267
94,"Bismarck, ND Metro Area",123407,13900,110542,18579,3111,5278,12203,11711,18378,1538,4954,1114,66917,66513,50604,404,15909,10877,2473,1964,1771,2441,1988,2310,2390,2808,2010,3835,5839,7811,5659,3066,2523,2371,63836,65951,39600,55907
95,"Blackfoot, ID Micro Area",45407,13940,39257,6643,1303,2744,5212,2397,3413,243,990,83,18571,18176,12359,395,5817,6093,1139,617,674,866,811,820,664,838,892,1224,1894,1894,1250,438,378,299,50155,51519,,45245
96,"Blacksburg-Christiansburg-Radford, VA Metro Area",180482,13980,161149,24860,5875,6539,13618,9476,19147,1993,9688,4304,81153,80211,55591,942,24620,35152,7267,4577,4195,4245,3021,3094,3997,3640,3035,6457,6290,7453,4816,2419,1912,2378,45607,46860,33301,37720
97,"Bloomington, IL Metro Area",189502,14010,161110,26490,4749,7695,14338,8236,32894,1816,11225,2040,97400,96687,84304,713,12383,25868,5159,3309,3132,3251,3193,3129,2763,3297,2548,5375,7556,9720,6997,4452,4704,3601,61504,63371,27227,39494
98,"Bloomington, IN Metro Area",163596,14020,144287,20158,4081,5503,12206,6550,18595,1890,12810,3992,77038,76327,64028,711,12299,34879,8114,4259,3644,3652,3824,3203,2920,3065,2627,4833,5876,6601,4075,2127,1921,1977,42725,45062,22020,33846
99,"Bloomsburg-Berwick, PA Metro Area",85420,14100,81326,23124,2182,2851,5367,4061,7912,946,3386,824,38084,37801,24343,283,13458,11816,2853,2006,2239,2024,1933,1997,1479,1693,1357,3057,3270,3869,2557,1244,1106,874,47372,47655,30976,43214
100,"Bluefield, WV-VA Micro Area",105761,14140,97970,21961,5862,5060,9995,5606,8153,1028,2826,463,39474,32801,29325,6673,3476,20754,4610,3596,3789,3386,2845,2488,2631,2256,1990,2955,3838,4201,2327,900,805,666,36754,37501,21157,
101,"Blytheville, AR Micro Area",44864,14180,27694,8048,2385,2088,4332,2105,2347,147,1046,214,16749,16253,15343,496,910,11781,2432,1648,1125,1058,1239,1173,841,947,691,1216,1309,1608,834,371,365,284,34612,41279,25317,27438
102,"Bogalusa, LA Micro Area",46556,14220,31437,9914,2799,1852,3975,1690,2610,160,994,101,14729,13637,9870,1092,3767,11811,2970,1629,1467,1491,1076,1038,923,641,594,1178,1271,1596,776,356,324,274,30705,35372,20771,
103,"Boise City, ID Metro Area",651402,14260,594247,83747,21894,36623,73925,35776,85868,7218,29084,4595,289897,284266,236405,5631,47861,95558,16121,11628,12857,12710,13046,13943,11529,13195,10344,21271,25953,29460,17429,10214,8868,7735,51024,51432,41711,38616
104,14300,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
105,"Boone, IA Micro Area",26401,14340,25658,5559,821,1426,2721,2423,3109,197,806,144,13084,13033,6976,51,6057,2588,465,535,559,764,574,523,652,515,435,1067,1264,1441,899,547,304,215,52985,52616,,40938
106,"Boone, NC Micro Area",52240,14380,49183,4978,911,1624,4709,2382,6122,463,3172,1300,22979,22782,20186,197,2596,14726,3590,1704,1149,999,1010,1021,1007,841,661,1434,1568,2122,1164,612,536,578,37656,37961,50625,37125
107,"Borger, TX Micro Area",21858,14420,19459,3335,1119,1552,2739,1102,1540,96,427,95,9151,8951,7755,200,1196,3493,646,554,457,629,391,376,325,359,456,761,704,1130,690,333,293,193,49353,51078,20868,36958
108,"Boston-Cambridge-Newton, MA-NH Metro Area",4694565,14460,3645403,684195,82378,145290,353331,233795,799540,104494,446202,93748,2411520,2304352,1473774,107168,830578,472350,102548,79559,68594,65094,60162,63353,58514,59351,55349,114408,157262,221014,184342,132701,162604,191585,75389,81117,43986,41507
