,NAME,metropolitan statistical area/micropolitan statistical area,Total population,White alone,Highschool,GED,"Some college, fewer than 1 years","Some college, 1 ore more years",associates,college grad,Professional degree,Masters,post grad,Place of work total,Work in state,Work in county,Work Out state,Work out county,Income in the past 12 months below poverty,Under 10k,"10 to 14,999","15 to 19,999",20 to 24,25 to 30,"30 to 34,999",35 to 39,40 to 44,44 to 49,50 to 59,60 to 74,75 to 99,100 to 124,125 to 149,150 to 199,200 +,Median HH income,M HH income white,Median HH income black,Median HH income hispanic
603,"Natchez, MS-LA Micro Area",52428,35020,24693,10808,2901,1416,5441,2439,3577,278,1565,162,17470,14600,13127,2870,1473,14496,3105,2142,1887,1632,1326,1155,860,779,722,1463,1486,1294,883,357,378,281,29088,42357,19602,45000
604,"Natchitoches, LA Micro Area",39330,35060,21532,6563,1344,1530,3310,1867,2692,217,1553,309,14326,13914,11716,412,2198,11208,2787,1368,1011,973,827,875,714,550,462,751,979,1258,776,382,433,310,31345,45440,20172,35893
605,"New Bern, NC Metro Area",127598,35100,90047,19911,4360,7366,15074,8785,11644,867,4612,730,54807,54140,41541,667,12599,19511,3763,2987,2825,2790,3002,2728,2886,3021,2579,4212,5686,5947,3248,1584,1197,1049,46445,52649,27896,39408
606,"Newberry, SC Micro Area",37690,35140,23258,7323,1569,1335,3070,2437,2729,113,1137,252,15675,15546,10296,129,5250,6436,1294,1032,607,1180,1175,882,958,543,533,1387,1330,1450,925,385,409,197,40127,49982,27778,27612
607,"New Castle, IN Micro Area",49146,35220,46739,12353,2749,2422,4453,2661,3553,243,1427,187,19274,19029,10169,245,8860,7465,1853,1008,1088,1110,1139,1297,1119,872,1066,1543,1829,2033,1062,408,311,272,41855,42009,,35208
608,"New Castle, PA Micro Area",89162,35260,83098,25012,3535,3466,6590,5516,8356,683,3006,443,38433,36393,24487,2040,11906,13192,3022,2384,2716,2334,2170,1938,2009,1793,1676,3191,3826,4049,2572,983,980,792,44571,45877,18028,40515
609,"New Haven-Milford, CT Metro Area",862224,35300,646775,159183,19402,31033,73176,43022,108647,16391,63138,12810,412044,402587,305190,9457,97397,108533,22547,15991,14988,14803,13324,14371,13420,13179,12051,24085,30485,40238,30820,20181,24062,21483,61640,68413,38667,36393
610,"New Orleans-Metairie, LA Metro Area",1239697,35380,724022,209838,35105,43295,150568,46800,148874,22205,53181,10799,562657,553860,363486,8797,190374,228494,47823,29998,28975,26296,25725,26232,22141,21176,19069,34510,43187,51948,35113,20784,20854,21287,47163,59907,30249,41628
611,"New Philadelphia-Dover, OH Micro Area",92697,35420,89582,27094,2972,3612,7523,4568,6333,303,2408,199,41892,41613,29744,279,11869,12763,2425,2208,2796,2104,2108,2294,1958,2337,1773,3504,4185,4223,2281,1059,799,659,45310,45333,25969,46212
612,"Newport, OR Micro Area",46347,35440,40824,7969,1953,2864,7221,2982,4954,597,2382,430,19038,18844,17882,194,962,7754,1497,1448,1499,1366,1469,1150,1237,1300,1084,1796,1908,2215,1025,691,481,400,42101,42464,,40511
613,"Newport, TN Micro Area",35321,35460,33609,8958,2831,1518,2816,1362,1613,144,696,88,13613,13525,7846,88,5679,9111,2244,1702,1112,1272,836,777,895,694,655,1145,1155,1196,624,111,155,137,31187,31702,25234,
614,"Newton, IA Micro Area",36726,35500,35318,8313,1914,2365,3634,2888,3744,131,764,41,16823,16728,9445,95,7283,3342,771,749,579,771,877,817,535,820,670,1348,1723,2317,1273,577,347,263,55033,55551,36635,
615,"New Ulm, MN Micro Area",25391,35580,24723,6096,458,1049,2738,1741,2671,248,658,142,13442,13380,11507,62,1873,1887,453,648,581,732,403,588,656,540,473,941,1312,1687,754,291,309,311,52598,53084,,32404
616,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",19979950,35620,11783565,3106250,397175,565230,1564149,907700,3009935,409401,1510655,202767,9309951,8669236,5260247,640715,3408989,2810103,516806,328440,318075,308054,278843,280332,258799,258116,227235,458879,623026,835780,665969,455736,575396,731720,67296,79920,45475,43819
617,"Niles-Benton Harbor, MI Metro Area",155565,35660,121476,28364,4292,7949,15875,10402,16600,1782,8388,1087,67482,58629,54852,8853,3777,26719,5321,3746,3850,3943,3964,3433,3149,3181,2435,4914,5922,7128,4228,2235,1986,1732,44993,50681,20854,36541
618,"Nogales, AZ Micro Area",47073,35700,37543,6182,1173,1369,4467,1681,4234,502,1348,317,17080,16665,14694,415,1971,10970,1746,1195,1099,1004,1044,935,633,699,704,1529,1356,1447,825,448,524,171,40140,41819,101563,34613
619,"Norfolk, NE Micro Area",48376,35740,45307,8842,1022,2449,4845,4955,4450,536,1233,151,25088,24851,18564,237,6287,6237,1240,1154,802,1284,935,1037,942,1093,859,1827,2281,2735,1504,612,375,590,51361,51517,,40571
620,"North Platte, NE Micro Area",37180,35820,35583,6899,1030,2523,4592,3070,3644,228,1049,155,17732,17579,16745,153,834,4643,1217,754,828,1088,708,701,751,1032,679,1567,1651,1967,1253,668,359,349,50196,50618,,34568
621,"North Port-Sarasota-Bradenton, FL Metro Area",735767,35840,648306,148559,21968,40086,78154,47993,102024,13126,46831,7881,290672,286430,225533,4242,60897,93981,18316,15898,17260,18659,17282,18290,16580,15830,14098,26062,32180,36449,23292,12907,12811,13996,50921,52256,33543,38274
622,"North Vernon, IN Micro Area",28113,35860,27346,7558,1305,1210,2248,1409,1264,35,611,33,12123,12076,5794,47,6282,4390,696,692,833,368,701,649,650,742,492,1122,1220,1254,665,199,189,135,44736,45379,19750,
623,"North Wilkesboro, NC Micro Area",68946,35900,62888,13116,2578,3503,6726,4433,4451,137,1458,209,25980,25768,19402,212,6366,15791,3096,2758,2671,2182,1621,1965,1341,1461,1370,1878,2182,2548,1094,431,399,425,33232,33886,31173,26088
624,"Norwalk, OH Micro Area",58937,35940,55845,16812,2109,2983,4798,2738,3377,326,1339,109,26455,26228,15431,227,10797,7853,1293,1170,1445,1376,1299,1302,1245,1208,1198,1981,2651,3183,1616,658,568,334,48745,49245,26948,33578
625,"Norwich-New London, CT Metro Area",273185,35980,222560,51507,7375,12230,25052,15498,33415,3855,20575,2873,137090,130255,110312,6835,19943,25766,5307,4028,4413,4544,4242,4496,3923,4381,4017,9177,10369,14991,11021,6878,8847,5861,66233,70299,45851,35648
626,"Oak Harbor, WA Micro Area",79329,36020,67467,11458,1742,4597,11465,6350,11656,976,4683,659,35036,34567,23694,469,10873,7430,1813,1419,1113,1645,1515,1592,1702,1574,1575,2879,3596,4952,3132,1876,1590,1152,58815,60077,47891,41924
627,"Ocala, FL Metro Area",336811,36100,275115,75797,15298,20994,34533,23131,29206,2878,10766,1475,112705,111443,93101,1262,18342,60207,9978,8902,9968,10439,9355,8973,9498,7171,5950,12564,13308,12252,6482,3088,2285,2074,39459,40756,30245,30966
628,"Ocean City, NJ Metro Area",95805,36140,87036,21727,2357,4521,8541,4942,13802,1158,5581,596,42332,40250,32285,2082,7965,9744,2165,1832,2081,1927,2313,1765,1766,1921,1884,3258,4044,5416,3662,2108,2291,1979,57637,58911,39439,37813
629,"Odessa, TX Metro Area",149557,36220,127624,19388,6043,7180,15114,5042,9366,657,2706,251,69020,68430,54280,590,14150,19162,2420,2504,2829,2816,2368,2369,2397,2570,2110,3844,5689,6816,4911,2746,2427,2052,57150,59738,48448,52243
630,"Ogden-Clearfield, UT Metro Area",623323,36260,557941,80717,11742,33233,70602,36446,73534,4624,25192,2695,282224,279517,169844,2707,109673,60601,9068,6441,6349,7833,8495,8457,8986,9034,9062,18403,25109,32001,19899,11438,9853,7047,63772,65067,43444,42967
631,"Ogdensburg-Massena, NY Micro Area",112011,36300,104302,21107,4927,4855,8377,8072,7912,1057,5998,1111,43703,43500,39158,203,4342,19494,3648,2715,2814,2468,2468,2521,2174,2027,1747,4022,4030,5068,2527,1285,1149,786,44705,44857,68259,51827
632,"Oil City, PA Micro Area",53906,36340,52192,17233,2023,2121,3732,3307,4144,269,1583,113,23066,22875,17595,191,5280,8123,1509,1301,1531,1567,1605,1255,1363,1254,1081,2081,2508,2523,1249,675,365,262,43644,44128,22917,
633,"Okeechobee, FL Micro Area",39255,36380,33535,7479,2397,1700,2888,1473,1869,210,689,71,12985,12831,10253,154,2578,9965,1460,1080,826,919,1264,890,777,787,682,1179,1105,867,544,338,143,185,35405,35678,28317,33452
634,"Oklahoma City, OK Metro Area",1318408,36420,978411,195967,37467,62840,147368,59420,159728,15298,59226,10796,620382,614664,443766,5718,170898,197042,35085,25243,24870,27319,26785,28033,25567,25116,21698,42114,51584,61294,39263,21457,19863,19593,51461,55226,32390,37440
635,"Olean, NY Micro Area",78962,36460,72829,18308,3561,3337,6040,6177,5503,443,3289,264,33553,32102,23231,1451,8871,13954,2126,2310,2399,2251,1988,2015,1896,1532,1430,2741,3374,3617,1865,1017,636,438,42601,43225,58194,37292
636,"Olympia-Tumwater, WA Metro Area",262723,36500,216973,33622,7262,16359,32947,18113,36521,4539,16981,2106,120564,119654,87072,910,32582,32101,6357,3921,3966,3645,3899,4515,4473,4436,4353,10175,12007,16235,9822,6317,5019,3491,61677,61946,65460,54667
637,"Omaha-Council Bluffs, NE-IA Metro Area",895919,36540,756180,124307,19373,43510,96947,48778,130289,12247,47181,6850,456912,419675,318657,37237,101018,107336,20249,14804,15063,16936,16126,17341,15887,16560,15290,28337,37141,47124,32584,18726,17487,14769,58249,61917,30047,42242
638,"Oneonta, NY Micro Area",61399,36580,57734,11410,2412,2059,4695,4364,5707,1033,3645,740,27714,27507,21669,207,5838,9275,1685,1396,1293,1441,1253,1439,1400,1184,962,2189,2774,2679,1791,780,784,586,48588,48730,,50625
639,"Ontario, OR-ID Micro Area",53251,36620,47347,8030,2808,3650,6171,2967,3553,220,1046,245,19733,14758,13182,4975,1576,11017,1892,1524,1332,1139,1156,1260,978,887,884,1671,1878,2024,865,375,307,261,39652,40150,,33227
640,"Opelousas, LA Micro Area",83613,36660,47127,21243,2678,2290,5248,2629,4845,355,1562,97,30426,29887,17473,539,12414,22970,4920,2915,2776,2188,1544,1522,1339,1267,1332,2063,2543,2614,1662,708,646,644,32625,44394,19336,47591
641,"Orangeburg, SC Micro Area",90575,36700,31085,18337,2340,3050,8095,5633,6945,426,3534,588,33066,32856,25025,210,7831,20600,5264,2632,2558,1809,2526,2240,1873,1761,1360,2864,2960,2428,1586,697,557,295,34218,42791,28803,28301
642,"Orlando-Kissimmee-Sanford, FL Metro Area",2277816,36740,1627159,362246,62533,95308,227102,160018,294712,25869,104830,14196,1050683,1040754,762967,9929,277787,365769,55228,41137,44653,48546,46919,48891,41134,42549,38494,67994,84381,90148,54936,31633,31234,30291,48768,51847,36894,39353
643,"Oshkosh-Neenah, WI Metro Area",169004,36780,156404,33541,4714,7042,16738,11646,21202,1364,6402,944,84595,84197,61374,398,22823,19209,3693,3308,4135,3861,3811,3761,3484,3484,3246,6767,8119,9176,5494,2646,2037,1917,52018,52567,26281,41099
644,"Oskaloosa, IA Micro Area",22396,36820,21380,4899,736,1168,2034,1457,2480,115,722,84,10651,10557,6675,94,3882,3206,716,533,569,465,443,605,436,396,453,1033,914,1159,707,169,244,181,48726,49339,43088,34083
645,"Othello, WA Micro Area",19081,36830,12893,2111,601,751,1275,800,955,103,350,19,7586,7560,5865,26,1695,4019,453,249,320,403,355,428,377,214,304,510,776,702,339,118,184,70,46564,52046,,40060
646,"Ottawa, KS Micro Area",25753,36840,23926,5183,945,1650,2776,1557,2452,141,864,147,12400,12051,7556,349,4495,3264,504,517,484,531,606,572,429,551,587,957,1178,1392,638,362,351,171,51081,52234,,30302
647,"Ottawa-Peru, IL Micro Area",152516,36860,143968,35156,5334,9432,17183,9670,11595,1146,4162,565,69114,68481,46203,633,22278,19268,3915,3377,3643,3431,2976,3669,3191,3261,2473,5101,6723,7760,5220,2753,1777,1448,50717,50959,31922,45897
648,"Ottumwa, IA Micro Area",44057,36900,41106,9575,1311,2459,4050,3123,3320,224,1287,129,19560,19410,15535,150,3875,8056,1359,1338,1230,1152,1251,931,757,1202,753,1443,1904,2204,897,632,310,295,43138,43558,21957,47344
649,"Owatonna, MN Micro Area",36523,36940,33357,7777,815,1732,3516,2260,4519,354,1223,55,18117,18044,14113,73,3931,3721,736,701,719,691,741,533,666,669,680,1284,1658,2331,1118,719,632,393,57858,59627,30000,47097
650,"Owensboro, KY Metro Area",116342,36980,107555,25077,5247,5726,11056,6783,8599,947,4677,552,50379,47498,40779,2881,6719,18291,3481,2810,2985,2928,2766,2669,2644,2066,1935,3756,4962,5537,3144,1779,1044,1054,45939,47233,25285,28882
651,"Owosso, MI Micro Area",69113,37020,66900,15331,2039,4356,8857,5075,4881,358,2061,161,29071,28909,13793,162,15116,9790,1879,1325,1697,1711,1502,1658,1614,1327,1644,2573,3095,3425,2084,854,641,380,48233,48337,,36667
652,"Oxford, MS Micro Area",51169,37060,36841,4764,1216,1951,4616,1987,6194,751,2881,1129,22115,21237,18439,878,2798,11903,2717,1090,1128,912,652,779,761,670,849,1294,1579,1818,1219,604,428,834,44643,47025,38281,18906
653,"Oxford, NC Micro Area",58109,37080,35926,10029,2407,3094,6181,3739,5028,332,1495,200,23709,23361,10372,348,12989,8943,1477,1163,1111,902,1390,1243,884,920,960,1768,2100,2782,1605,812,670,436,50225,56272,33947,50968
