ACSSF,2010e1,dc,000,0048,0000001,252388,101519,47681,25083,16111,6345,3879,2420,150869,121036,22544,4975,1730,139,329,116,252388,6778,245610,252388,101519,47681,25083,16111,12644,150869,121036,22544,4975,1730,584
ACSSF,2010e1,dc,000,0048,0000002,252388,101519,47681,25083,16111,6345,3879,2420,150869,121036,22544,4975,1730,139,329,116,,,,252388,101519,47681,25083,16111,12644,150869,121036,22544,4975,1730,584
ACSSF,2010e1,dc,000,0048,0000003,252388,101519,47681,25083,16111,6345,3879,2420,150869,121036,22544,4975,1730,139,329,116,,,,252388,101519,47681,25083,16111,12644,150869,121036,22544,4975,1730,584
ACSSF,2010e1,dc,000,0048,0000004,252388,101519,47681,25083,16111,6345,3879,2420,150869,121036,22544,4975,1730,139,329,116,,,,252388,101519,47681,25083,16111,12644,150869,121036,22544,4975,1730,584
ACSSF,2010e1,dc,000,0048,0000005,252388,101519,47681,25083,16111,6345,3879,2420,150869,121036,22544,4975,1730,139,329,116,,,,252388,101519,47681,25083,16111,12644,150869,121036,22544,4975,1730,584
ACSSF,2010e1,dc,000,0048,0000006,252388,101519,47681,25083,16111,6345,3879,2420,150869,121036,22544,4975,1730,139,329,116,,,,252388,101519,47681,25083,16111,12644,150869,121036,22544,4975,1730,584
ACSSF,2010e1,dc,000,0048,0000007,252388,101519,47681,25083,16111,6345,3879,2420,150869,121036,22544,4975,1730,139,329,116,,,,252388,101519,47681,25083,16111,12644,150869,121036,22544,4975,1730,584
ACSSF,2010e1,dc,000,0048,0000008,252388,101519,47681,25083,16111,6345,3879,2420,150869,121036,22544,4975,1730,139,329,116,,,,252388,101519,47681,25083,16111,12644,150869,121036,22544,4975,1730,584
ACSSF,2010e1,dc,000,0048,0000009,252388,101519,47681,25083,16111,6345,3879,2420,150869,121036,22544,4975,1730,139,329,116,,,,252388,101519,47681,25083,16111,12644,150869,121036,22544,4975,1730,584
ACSSF,2010e1,dc,000,0048,0000010,47121,20216,10364,3894,4478,1111,369,0,26905,21515,4235,645,510,0,0,0,,,,47121,20216,10364,3894,4478,1480,26905,21515,4235,645,510,0
ACSSF,2010e1,dc,000,0048,0000011,45007,19119,7557,5208,3127,1329,964,934,25888,19911,4298,961,273,48,329,68,,,,45007,19119,7557,5208,3127,3227,25888,19911,4298,961,273,445
ACSSF,2010e1,dc,000,0048,0000012,52432,23116,9817,6418,3423,1884,1029,545,29316,22818,4500,1531,376,91,0,0,,,,52432,23116,9817,6418,3423,3458,29316,22818,4500,1531,376,91
ACSSF,2010e1,dc,000,0048,0000013,49299,25030,11300,6412,3803,1460,1145,910,24269,22149,1837,40,243,0,0,0,,,,49299,25030,11300,6412,3803,3515,24269,22149,1837,40,243,0
ACSSF,2010e1,dc,000,0048,0000014,58529,14038,8643,3151,1280,561,372,31,44491,34643,7674,1798,328,0,0,48,,,,58529,14038,8643,3151,1280,964,44491,34643,7674,1798,328,48
ACSSF,2010e1,dc,000,0048,0000015,252388,101519,47681,25083,16111,6345,3879,2420,150869,121036,22544,4975,1730,139,329,116,,,,252388,101519,47681,25083,16111,12644,150869,121036,22544,4975,1730,584
